Date (Reference),year,month,day,Actual
2021-04-01,2021.0,4.0,1.0,341.6
2021-03-01,2021.0,3.0,1.0,-115.4
2021-02-01,2021.0,2.0,1.0,-60.0
2021-01-01,2021.0,1.0,1.0,-9.200000000000003
2020-12-01,2020.0,12.0,1.0,22.8
2020-11-01,2020.0,11.0,1.0,5.399999999999999
2020-10-01,2020.0,10.0,1.0,4.600000000000001
2020-09-01,2020.0,9.0,1.0,9.8
2020-08-01,2020.0,8.0,1.0,5.800000000000001
2020-07-01,2020.0,7.0,1.0,-0.6000000000000014
2020-06-01,2020.0,6.0,1.0,-4.799999999999997
2020-05-01,2020.0,5.0,1.0,-25.4
2020-04-01,2020.0,4.0,1.0,-46.0
2020-03-01,2020.0,3.0,1.0,6.399999999999999
2020-02-01,2020.0,2.0,1.0,38.2
2020-01-01,2020.0,1.0,1.0,29.8
2019-12-01,2019.0,12.0,1.0,19.4
2019-11-01,2019.0,11.0,1.0,18.6
2019-10-01,2019.0,10.0,1.0,21.4
2019-09-01,2019.0,9.0,1.0,20.0
2019-08-01,2019.0,8.0,1.0,10.6
2019-07-01,2019.0,7.0,1.0,17.2
2019-06-01,2019.0,6.0,1.0,17.6
2019-05-01,2019.0,5.0,1.0,19.2
2019-04-01,2019.0,4.0,1.0,9.399999999999999
2019-03-01,2019.0,3.0,1.0,24.2
2019-02-01,2019.0,2.0,1.0,20.6
2019-01-01,2019.0,1.0,1.0,32.4
2018-12-01,2018.0,12.0,1.0,14.8
2018-11-01,2018.0,11.0,1.0,37.6
2018-10-01,2018.0,10.0,1.0,41.2
2018-09-01,2018.0,9.0,1.0,39.4
2018-08-01,2018.0,8.0,1.0,41.2
2018-07-01,2018.0,7.0,1.0,55.2
2018-06-01,2018.0,6.0,1.0,54.8
2018-05-01,2018.0,5.0,1.0,62.6
2018-04-01,2018.0,4.0,1.0,76.6
2018-03-01,2018.0,3.0,1.0,54.0
2018-02-01,2018.0,2.0,1.0,64.0
2018-01-01,2018.0,1.0,1.0,54.8
2017-12-01,2017.0,12.0,1.0,18.8
2017-11-01,2017.0,11.0,1.0,11.8
2017-10-01,2017.0,10.0,1.0,21.0
2017-09-01,2017.0,9.0,1.0,20.6
2017-08-01,2017.0,8.0,1.0,32.8
2017-07-01,2017.0,7.0,1.0,21.0
2017-06-01,2017.0,6.0,1.0,28.8
2017-05-01,2017.0,5.0,1.0,28.0
2017-04-01,2017.0,4.0,1.0,29.8
2017-03-01,2017.0,3.0,1.0,56.6
2017-02-01,2017.0,2.0,1.0,49.6
2017-01-01,2017.0,1.0,1.0,60.4
2016-12-01,2016.0,12.0,1.0,66.2
2016-11-01,2016.0,11.0,1.0,52.2
2016-10-01,2016.0,10.0,1.0,42.0
2016-09-01,2016.0,9.0,1.0,44.8
2016-08-01,2016.0,8.0,1.0,50.0
2016-07-01,2016.0,7.0,1.0,48.4
2016-06-01,2016.0,6.0,1.0,44.4
2016-05-01,2016.0,5.0,1.0,40.2
2016-04-01,2016.0,4.0,1.0,45.2
2016-03-01,2016.0,3.0,1.0,33.6
2016-02-01,2016.0,2.0,1.0,47.6
2016-01-01,2016.0,1.0,1.0,29.0
2015-12-01,2015.0,12.0,1.0,27.6
2015-11-01,2015.0,11.0,1.0,28.6
2015-10-01,2015.0,10.0,1.0,20.6
2015-09-01,2015.0,9.0,1.0,22.2
2015-08-01,2015.0,8.0,1.0,21.4
2015-07-01,2015.0,7.0,1.0,19.8
2015-06-01,2015.0,6.0,1.0,17.2
2015-05-01,2015.0,5.0,1.0,17.0
2015-04-01,2015.0,4.0,1.0,20.2
2015-03-01,2015.0,3.0,1.0,50.2
2015-02-01,2015.0,2.0,1.0,17.8
2015-01-01,2015.0,1.0,1.0,30.8
