Date.1,year,month,day,"product1 country1, EXW"
2021-04-02,2021.0,4.0,2.0,1543.45888
2021-04-01,2021.0,4.0,1.0,1501.29732
2021-03-31,2021.0,3.0,31.0,1498.0368
2021-03-30,2021.0,3.0,30.0,1490.6928
2021-03-29,2021.0,3.0,29.0,1488.15628
2021-03-26,2021.0,3.0,26.0,1473.0354
2021-03-25,2021.0,3.0,25.0,1453.6494
2021-03-24,2021.0,3.0,24.0,1443.0472
2021-03-23,2021.0,3.0,23.0,1450.95192
2021-03-22,2021.0,3.0,22.0,1452.82764
2021-03-19,2021.0,3.0,19.0,1412.62434
2021-03-18,2021.0,3.0,18.0,1407.05118
2021-03-17,2021.0,3.0,17.0,1401.3661
2021-03-16,2021.0,3.0,16.0,1407.13164
2021-03-15,2021.0,3.0,15.0,1392.97212
2021-03-12,2021.0,3.0,12.0,1394.2947
2021-03-11,2021.0,3.0,11.0,1354.2342
2021-03-10,2021.0,3.0,10.0,1367.16808
2021-03-09,2021.0,3.0,9.0,1382.3982
2021-03-08,2021.0,3.0,8.0,1387.5532
2021-03-05,2021.0,3.0,5.0,1387.5048
2021-03-04,2021.0,3.0,4.0,1396.21038
2021-03-03,2021.0,3.0,3.0,1396.65138
2021-03-02,2021.0,3.0,2.0,1352.65204
2021-03-01,2021.0,3.0,1.0,1353.7537
2021-02-26,2021.0,2.0,26.0,1357.29726
2021-02-25,2021.0,2.0,25.0,1356.02534
2021-02-24,2021.0,2.0,24.0,1343.18328
2021-02-23,2021.0,2.0,23.0,1347.4655
2021-02-22,2021.0,2.0,22.0,1347.848
2021-02-19,2021.0,2.0,19.0,1309.41168
2021-02-18,2021.0,2.0,18.0,1290.66
2021-02-05,2021.0,2.0,5.0,1223.7126
2021-02-04,2021.0,2.0,4.0,1222.7732
2021-02-03,2021.0,2.0,3.0,1224.8907
2021-02-02,2021.0,2.0,2.0,1225.5529
2021-02-01,2021.0,2.0,1.0,1226.58148
2021-01-29,2021.0,1.0,29.0,1234.04672
2021-01-28,2021.0,1.0,28.0,1229.9474
2021-01-27,2021.0,1.0,27.0,1223.6942
2021-01-26,2021.0,1.0,26.0,1220.89632
2021-01-25,2021.0,1.0,25.0,1215.1295
2021-01-22,2021.0,1.0,22.0,1214.7465
2021-01-21,2021.0,1.0,21.0,1212.17976
2021-01-20,2021.0,1.0,20.0,1211.37966
2021-01-19,2021.0,1.0,19.0,1209.10128
2021-01-18,2021.0,1.0,18.0,1206.65526
2021-01-15,2021.0,1.0,15.0,1208.77362
2021-01-14,2021.0,1.0,14.0,1209.90138
2021-01-13,2021.0,1.0,13.0,1211.08248
2021-01-12,2021.0,1.0,12.0,1211.90544
2021-01-11,2021.0,1.0,11.0,1208.77362
2021-01-08,2021.0,1.0,8.0,1206.7592
2021-01-07,2021.0,1.0,7.0,1203.07154
2021-01-06,2021.0,1.0,6.0,1209.138
2021-01-05,2021.0,1.0,5.0,1210.1792
2021-01-04,2021.0,1.0,4.0,1212.2712
2020-12-31,2020.0,12.0,31.0,1193.31608
2020-12-30,2020.0,12.0,30.0,1179.65408
2020-12-29,2020.0,12.0,29.0,1187.50972
2020-12-28,2020.0,12.0,28.0,1201.71372
2020-12-25,2020.0,12.0,25.0,1219.21688
2020-12-24,2020.0,12.0,24.0,1221.34312
2020-12-23,2020.0,12.0,23.0,1262.21952
2020-12-22,2020.0,12.0,22.0,1261.73712
2020-12-21,2020.0,12.0,21.0,1254.424
2020-12-18,2020.0,12.0,18.0,1171.134
2020-12-17,2020.0,12.0,17.0,1162.61232
2020-12-16,2020.0,12.0,16.0,1153.49436
2020-12-15,2020.0,12.0,15.0,1149.3087
2020-12-14,2020.0,12.0,14.0,1144.31384
2020-12-11,2020.0,12.0,11.0,1157.22528
2020-12-10,2020.0,12.0,10.0,1151.32032
