Date.11,year,month,day,"HCC, FOB Aust.1"
2021-04-02,2021.0,4.0,2.0,263.0
2021-03-26,2021.0,3.0,26.0,261.0
2021-03-19,2021.0,3.0,19.0,261.0
2021-03-12,2021.0,3.0,12.0,263.0
2021-03-05,2021.0,3.0,5.0,277.0
2021-02-26,2021.0,2.0,26.0,287.0
2021-02-19,2021.0,2.0,19.0,307.0
2021-02-12,2021.0,2.0,12.0,321.0
2021-02-05,2021.0,2.0,5.0,341.0
2021-01-29,2021.0,1.0,29.0,347.0
2021-01-22,2021.0,1.0,22.0,325.0
2021-01-15,2021.0,1.0,15.0,281.0
2021-01-08,2021.0,1.0,8.0,241.0
2021-01-01,2021.0,1.0,1.0,239.0
2020-12-25,2020.0,12.0,25.0,241.0
2020-12-18,2020.0,12.0,18.0,239.0
2020-12-11,2020.0,12.0,11.0,239.0
2020-12-04,2020.0,12.0,4.0,239.0
2020-11-27,2020.0,11.0,27.0,235.0
2020-11-20,2020.0,11.0,20.0,231.0
2020-11-13,2020.0,11.0,13.0,241.0
2020-11-06,2020.0,11.0,6.0,247.0
2020-10-30,2020.0,10.0,30.0,249.0
2020-10-23,2020.0,10.0,23.0,249.0
2020-10-16,2020.0,10.0,16.0,269.0
2020-10-09,2020.0,10.0,9.0,295.0
2020-10-02,2020.0,10.0,2.0,309.0
2020-09-25,2020.0,9.0,25.0,301.0
2020-09-18,2020.0,9.0,18.0,291.0
2020-09-11,2020.0,9.0,11.0,259.0
2020-09-04,2020.0,9.0,4.0,253.0
2020-08-28,2020.0,8.0,28.0,245.0
2020-08-21,2020.0,8.0,21.0,241.0
2020-08-14,2020.0,8.0,14.0,241.0
2020-08-07,2020.0,8.0,7.0,243.0
2020-07-31,2020.0,7.0,31.0,249.0
2020-07-24,2020.0,7.0,24.0,251.0
2020-07-17,2020.0,7.0,17.0,251.0
2020-07-10,2020.0,7.0,10.0,259.0
2020-07-03,2020.0,7.0,3.0,261.0
2020-06-26,2020.0,6.0,26.0,261.0
2020-06-19,2020.0,6.0,19.0,257.0
2020-06-12,2020.0,6.0,12.0,251.0
2020-06-05,2020.0,6.0,5.0,249.0
2020-05-29,2020.0,5.0,29.0,249.0
2020-05-22,2020.0,5.0,22.0,269.0
2020-05-15,2020.0,5.0,15.0,265.0
2020-05-08,2020.0,5.0,8.0,261.0
2020-05-01,2020.0,5.0,1.0,247.0
