Date.12,year,month,day,"Fe 62%, CFR "
2021-04-02,2021.0,4.0,2.0,366.6
2021-03-26,2021.0,3.0,26.0,353.54
2021-03-19,2021.0,3.0,19.0,362.54
2021-03-12,2021.0,3.0,12.0,368.82
2021-03-05,2021.0,3.0,5.0,384.44
2021-02-26,2021.0,2.0,26.0,381.7
2021-02-19,2021.0,2.0,19.0,372.7
2021-02-12,2021.0,2.0,12.0,362.2
2021-02-05,2021.0,2.0,5.0,342.82
2021-01-29,2021.0,1.0,29.0,359.72
2021-01-22,2021.0,1.0,22.0,375.98
2021-01-15,2021.0,1.0,15.0,377.38
2021-01-08,2021.0,1.0,8.0,371.64
2021-01-01,2021.0,1.0,1.0,356.6
2020-12-25,2020.0,12.0,25.0,367.54
2020-12-18,2020.0,12.0,18.0,348.5
2020-12-11,2020.0,12.0,11.0,337.86
2020-12-04,2020.0,12.0,4.0,305.86
2020-11-27,2020.0,11.0,27.0,289.04
2020-11-20,2020.0,11.0,20.0,286.02
2020-11-13,2020.0,11.0,13.0,278.88
2020-11-06,2020.0,11.0,6.0,267.72
2020-10-30,2020.0,10.0,30.0,265.04
2020-10-23,2020.0,10.0,23.0,271.06
2020-10-16,2020.0,10.0,16.0,274.08
2020-10-09,2020.0,10.0,9.0,280.84
2020-10-02,2020.0,10.0,2.0,274.66
2020-09-25,2020.0,9.0,25.0,265.32
2020-09-18,2020.0,9.0,18.0,285.06
2020-09-11,2020.0,9.0,11.0,288.7
2020-09-04,2020.0,9.0,4.0,287.06
2020-08-28,2020.0,8.0,28.0,280.6
2020-08-21,2020.0,8.0,21.0,287.52
2020-08-14,2020.0,8.0,14.0,276.22
2020-08-07,2020.0,8.0,7.0,270.0
2020-07-31,2020.0,7.0,31.0,250.74
2020-07-24,2020.0,7.0,24.0,253.58
2020-07-17,2020.0,7.0,17.0,256.12
2020-07-10,2020.0,7.0,10.0,241.54
2020-07-03,2020.0,7.0,3.0,232.42
2020-06-26,2020.0,6.0,26.0,237.96
2020-06-19,2020.0,6.0,19.0,239.88
2020-06-12,2020.0,6.0,12.0,242.18
2020-06-05,2020.0,6.0,5.0,234.18
2020-05-29,2020.0,5.0,29.0,228.06
2020-05-22,2020.0,5.0,22.0,228.22
2020-05-15,2020.0,5.0,15.0,216.1
2020-05-08,2020.0,5.0,8.0,203.52
2020-05-01,2020.0,5.0,1.0,199.12
2020-04-24,2020.0,4.0,24.0,203.26
2020-04-17,2020.0,4.0,17.0,205.4
2020-04-10,2020.0,4.0,10.0,200.22
2020-04-03,2020.0,4.0,3.0,199.32
2020-03-27,2020.0,3.0,27.0,203.2
2020-03-20,2020.0,3.0,20.0,214.26
2020-03-13,2020.0,3.0,13.0,214.02
2020-03-06,2020.0,3.0,6.0,213.5
2020-02-28,2020.0,2.0,28.0,209.2
2020-02-21,2020.0,2.0,21.0,214.96
2020-02-14,2020.0,2.0,14.0,206.88
2020-02-07,2020.0,2.0,7.0,197.88
2020-01-31,2020.0,1.0,31.0,208.22
2020-01-24,2020.0,1.0,24.0,223.94
2020-01-17,2020.0,1.0,17.0,226.34
2020-01-10,2020.0,1.0,10.0,223.1
2020-01-03,2020.0,1.0,3.0,218.94
2019-12-27,2019.0,12.0,27.0,215.26
2019-12-20,2019.0,12.0,20.0,219.68
2019-12-13,2019.0,12.0,13.0,221.32
