Date.14,year,month,day,USD/CUR1 (Price),DXY (Price)
2021-03-28,2021.0,3.0,28.0,46.1292,219.04
2021-03-21,2021.0,3.0,21.0,46.0824,218.54
2021-03-14,2021.0,3.0,14.0,46.014,216.84
2021-03-07,2021.0,3.0,7.0,46.0162,216.36
2021-02-28,2021.0,2.0,28.0,45.992,216.96
2021-02-21,2021.0,2.0,21.0,45.946,214.76
2021-02-14,2021.0,2.0,14.0,45.911,213.72
2021-02-07,2021.0,2.0,7.0,45.9084,213.96
2021-01-31,2021.0,1.0,31.0,45.9328,215.08
2021-01-24,2021.0,1.0,24.0,45.85,214.16
2021-01-17,2021.0,1.0,17.0,45.962,213.48
2021-01-10,2021.0,1.0,10.0,45.96,214.54
2021-01-03,2021.0,1.0,3.0,45.95,213.2
2020-12-27,2020.0,12.0,27.0,46.05,212.88
2020-12-20,2020.0,12.0,20.0,46.0816,213.64
2020-12-13,2020.0,12.0,13.0,46.0696,213.04
2020-12-06,2020.0,12.0,6.0,46.089,214.96
2020-11-29,2020.0,11.0,29.0,46.0602,214.4
2020-11-22,2020.0,11.0,22.0,46.1476,216.58
2020-11-15,2020.0,11.0,15.0,46.1216,217.78
2020-11-08,2020.0,11.0,8.0,46.2078,218.5
2020-11-01,2020.0,11.0,1.0,46.216,217.46
2020-10-25,2020.0,10.0,25.0,46.3838,221.08
2020-10-18,2020.0,10.0,18.0,46.3686,218.54
2020-10-11,2020.0,10.0,11.0,46.3924,220.36
2020-10-04,2020.0,10.0,4.0,46.3866,219.12
2020-09-27,2020.0,9.0,27.0,46.5796,220.68
2020-09-20,2020.0,9.0,20.0,46.644,222.28
2020-09-13,2020.0,9.0,13.0,46.535,218.86
2020-09-06,2020.0,9.0,6.0,46.666,219.66
2020-08-30,2020.0,8.0,30.0,46.6818,218.44
2020-08-23,2020.0,8.0,23.0,46.7294,217.74
2020-08-16,2020.0,8.0,16.0,46.8358,219.5
2020-08-09,2020.0,8.0,9.0,46.9002,219.2
2020-08-02,2020.0,8.0,2.0,46.934,219.86
2020-07-26,2020.0,7.0,26.0,46.9488,219.7
2020-07-19,2020.0,7.0,19.0,47.034,221.86
2020-07-12,2020.0,7.0,12.0,46.9848,224.88
2020-07-05,2020.0,7.0,5.0,47.0038,226.3
2020-06-28,2020.0,6.0,28.0,47.1326,227.34
2020-06-21,2020.0,6.0,21.0,47.1564,227.86
2020-06-14,2020.0,6.0,14.0,47.1446,228.24
2020-06-07,2020.0,6.0,7.0,47.1668,227.64
2020-05-31,2020.0,5.0,31.0,47.164,226.88
2020-05-24,2020.0,5.0,24.0,47.2744,229.68
2020-05-17,2020.0,5.0,17.0,47.2608,232.72
2020-05-10,2020.0,5.0,10.0,47.2042,233.8
2020-05-03,2020.0,5.0,3.0,47.1484,232.46
2020-04-26,2020.0,4.0,26.0,47.1244,231.16
2020-04-19,2020.0,4.0,19.0,47.1638,233.76
2020-04-12,2020.0,4.0,12.0,47.1462,232.56
2020-04-05,2020.0,4.0,5.0,47.072,232.04
2020-03-29,2020.0,3.0,29.0,47.1856,234.16
2020-03-22,2020.0,3.0,22.0,47.1926,229.72
2020-03-15,2020.0,3.0,15.0,47.192,238.64
2020-03-08,2020.0,3.0,8.0,47.0172,230.5
2020-03-01,2020.0,3.0,1.0,46.8642,224.9
2020-02-23,2020.0,2.0,23.0,46.984,229.26
2020-02-16,2020.0,2.0,16.0,47.0542,231.52
2020-02-09,2020.0,2.0,9.0,46.9738,231.24
2020-02-02,2020.0,2.0,2.0,47.003,230.36
2020-01-26,2020.0,1.0,26.0,46.8734,227.78
2020-01-19,2020.0,1.0,19.0,46.8734,228.7
2020-01-12,2020.0,1.0,12.0,46.7196,228.28
2020-01-05,2020.0,1.0,5.0,46.8384,227.72
2019-12-29,2019.0,12.0,29.0,46.931,226.68
2019-12-22,2019.0,12.0,22.0,46.9916,226.84
2019-12-15,2019.0,12.0,15.0,47.0136,228.38
2019-12-08,2019.0,12.0,8.0,46.979,227.34
2019-12-01,2019.0,12.0,1.0,47.07,228.4
2019-11-24,2019.0,11.0,24.0,47.0648,229.54
2019-11-17,2019.0,11.0,17.0,47.08,229.54
2019-11-10,2019.0,11.0,10.0,47.0166,229.0
2019-11-03,2019.0,11.0,3.0,46.9922,229.7
2019-10-27,2019.0,10.0,27.0,47.075,227.48
2019-10-20,2019.0,10.0,20.0,47.1306,228.66
2019-10-13,2019.0,10.0,13.0,47.1634,227.56
2019-10-06,2019.0,10.0,6.0,47.176,229.6
2019-09-29,2019.0,9.0,29.0,47.2966,230.62
2019-09-22,2019.0,9.0,22.0,47.2454,231.22
2019-09-15,2019.0,9.0,15.0,47.1832,230.02
2019-09-08,2019.0,9.0,8.0,47.1588,229.52
2019-09-01,2019.0,9.0,1.0,47.2314,229.78
2019-08-25,2019.0,8.0,25.0,47.3136,230.84
2019-08-18,2019.0,8.0,18.0,47.192,228.28
2019-08-11,2019.0,8.0,11.0,47.0856,229.28
2019-08-04,2019.0,8.0,4.0,47.1248,227.98
2019-07-28,2019.0,7.0,28.0,46.881,229.14
2019-07-21,2019.0,7.0,21.0,46.7584,229.02
2019-07-14,2019.0,7.0,14.0,46.7644,227.3
2019-07-07,2019.0,7.0,7.0,46.7616,226.62
2019-06-30,2019.0,6.0,30.0,46.7872,227.58
2019-06-23,2019.0,6.0,23.0,46.7336,225.26
2019-06-16,2019.0,6.0,16.0,46.74,225.44
2019-06-09,2019.0,6.0,9.0,46.851,228.14
2019-06-02,2019.0,6.0,2.0,46.8194,226.08
2019-05-26,2019.0,5.0,26.0,46.81,228.5
2019-05-19,2019.0,5.0,19.0,46.8004,228.22
2019-05-12,2019.0,5.0,12.0,46.8374,229.0
2019-05-05,2019.0,5.0,5.0,46.648,227.66
2019-04-28,2019.0,4.0,28.0,46.4692,228.04
2019-04-21,2019.0,4.0,21.0,46.4596,229.02
2019-04-14,2019.0,4.0,14.0,46.4084,227.76
2019-04-07,2019.0,4.0,7.0,46.4088,226.94
2019-03-31,2019.0,3.0,31.0,46.438,227.78
2019-03-24,2019.0,3.0,24.0,46.424,227.56
2019-03-17,2019.0,3.0,17.0,46.4362,226.3
2019-03-10,2019.0,3.0,10.0,46.4276,226.18
2019-03-03,2019.0,3.0,3.0,46.4432,227.62
2019-02-24,2019.0,2.0,24.0,46.4128,226.06
2019-02-17,2019.0,2.0,17.0,46.4284,226.02
2019-02-10,2019.0,2.0,10.0,46.546,226.8
2019-02-03,2019.0,2.0,3.0,46.4896,226.28
2019-01-27,2019.0,1.0,27.0,46.4896,224.16
2019-01-20,2019.0,1.0,20.0,46.4946,224.58
2019-01-13,2019.0,1.0,13.0,46.558,225.68
2019-01-06,2019.0,1.0,6.0,46.526,224.34
2018-12-30,2018.0,12.0,30.0,46.7384,225.36
2018-12-23,2018.0,12.0,23.0,46.757,225.8
2018-12-16,2018.0,12.0,16.0,46.813,226.92
2018-12-09,2018.0,12.0,9.0,46.8154,227.88
2018-12-02,2018.0,12.0,2.0,46.7514,226.02
2018-11-25,2018.0,11.0,25.0,46.921,227.54
2018-11-18,2018.0,11.0,18.0,46.897,226.84
2018-11-11,2018.0,11.0,11.0,46.876,225.94
2018-11-04,2018.0,11.0,4.0,46.9134,226.82
2018-10-28,2018.0,10.0,28.0,46.7814,226.08
2018-10-21,2018.0,10.0,21.0,46.887,225.72
2018-10-14,2018.0,10.0,14.0,46.8594,224.42
