Date.15,year,month,day,USD/CUR2 (Price),Price
2021-03-28,2021.0,3.0,28.0,130.094,12919.18
2021-03-21,2021.0,3.0,21.0,129.82,13122.26
2021-03-14,2021.0,3.0,14.0,130.0,12905.2
2021-03-07,2021.0,3.0,7.0,129.96,13490.1
2021-02-28,2021.0,2.0,28.0,130.2,13795.74
2021-02-21,2021.0,2.0,21.0,130.46,13622.72
2021-02-14,2021.0,2.0,14.0,129.96,13885.82
2021-02-07,2021.0,2.0,7.0,129.08,14015.02
2021-01-31,2021.0,1.0,31.0,129.08,14071.36
2021-01-24,2021.0,1.0,24.0,129.12,13258.24
2021-01-17,2021.0,1.0,17.0,129.16,14124.66
2021-01-10,2021.0,1.0,10.0,129.08,14509.92
2021-01-03,2021.0,1.0,3.0,129.14,14612.76
2020-12-27,2020.0,12.0,27.0,129.02,14312.42
2020-12-20,2020.0,12.0,20.0,129.08,14441.76
2020-12-13,2020.0,12.0,13.0,129.14,14578.6
2020-12-06,2020.0,12.0,6.0,129.22,14525.32
2020-11-29,2020.0,11.0,29.0,129.2,14302.12
2020-11-22,2020.0,11.0,22.0,129.22,13615.92
2020-11-15,2020.0,11.0,15.0,129.46,14372.58
2020-11-08,2020.0,11.0,8.0,129.34,13972.76
2020-11-01,2020.0,11.0,1.0,129.34,13404.38
2020-10-25,2020.0,10.0,25.0,130.06,12681.0
2020-10-18,2020.0,10.0,18.0,129.8,13001.12
2020-10-11,2020.0,10.0,11.0,130.32,11829.94
2020-10-04,2020.0,10.0,4.0,129.7,11896.22
2020-09-27,2020.0,9.0,27.0,129.96,12031.8
2020-09-20,2020.0,9.0,20.0,129.94,11710.32
2020-09-13,2020.0,9.0,13.0,129.92,11850.8
2020-09-06,2020.0,9.0,6.0,130.08,11968.92
2020-08-30,2020.0,8.0,30.0,130.12,11603.18
2020-08-23,2020.0,8.0,23.0,129.72,11801.36
2020-08-16,2020.0,8.0,16.0,130.26,12043.8
2020-08-09,2020.0,8.0,9.0,130.4,12186.82
2020-08-02,2020.0,8.0,2.0,131.14,11725.04
2020-07-26,2020.0,7.0,26.0,131.28,11889.9
2020-07-19,2020.0,7.0,19.0,131.67,12039.52
2020-07-12,2020.0,7.0,12.0,131.76,12210.5
2020-07-05,2020.0,7.0,5.0,131.92,12427.76
2020-06-28,2020.0,6.0,28.0,132.08,12778.32
2020-06-21,2020.0,6.0,21.0,132.88,12416.68
2020-06-14,2020.0,6.0,14.0,133.12,12663.14
2020-06-07,2020.0,6.0,7.0,133.55,12985.48
2020-05-31,2020.0,5.0,31.0,132.68,12963.26
2020-05-24,2020.0,5.0,24.0,133.94,11710.68
2020-05-17,2020.0,5.0,17.0,134.52,11111.38
2020-05-10,2020.0,5.0,10.0,134.32,11116.9
2020-05-03,2020.0,5.0,3.0,133.8,11276.88
2020-04-26,2020.0,4.0,26.0,134.19,11434.42
2020-04-19,2020.0,4.0,19.0,134.52,10962.96
2020-04-12,2020.0,4.0,12.0,134.6,11612.94
2020-04-05,2020.0,4.0,5.0,133.88,11054.66
2020-03-29,2020.0,3.0,29.0,134.44,10726.94
2020-03-22,2020.0,3.0,22.0,135.27,10566.24
2020-03-15,2020.0,3.0,15.0,135.4,9590.52
2020-03-08,2020.0,3.0,8.0,135.06,11620.88
2020-03-01,2020.0,3.0,1.0,134.1,13573.76
2020-02-23,2020.0,2.0,23.0,134.94,13608.82
2020-02-16,2020.0,2.0,16.0,134.8,14772.56
2020-02-09,2020.0,2.0,9.0,134.1,14597.0
2020-02-02,2020.0,2.0,2.0,134.9,15047.4
2020-01-26,2020.0,1.0,26.0,135.02,14434.58
2020-01-19,2020.0,1.0,19.0,134.66,15279.82
2020-01-12,2020.0,1.0,12.0,134.84,15478.16
2020-01-05,2020.0,1.0,5.0,134.1,15586.54
2019-12-29,2019.0,12.0,29.0,135.25,15712.58
2019-12-22,2019.0,12.0,22.0,134.64,15663.52
2019-12-15,2019.0,12.0,15.0,134.54,15579.24
2019-12-08,2019.0,12.0,8.0,134.22,15788.26
2019-12-01,2019.0,12.0,1.0,134.62,15636.44
2019-11-24,2019.0,11.0,24.0,134.7,15510.92
2019-11-17,2019.0,11.0,17.0,134.84,15682.18
2019-11-10,2019.0,11.0,10.0,134.14,15898.92
2019-11-03,2019.0,11.0,3.0,134.14,16164.52
2019-10-27,2019.0,10.0,27.0,133.98,15987.24
2019-10-20,2019.0,10.0,20.0,135.42,15878.0
2019-10-13,2019.0,10.0,13.0,135.5,15803.46
2019-10-06,2019.0,10.0,6.0,136.22,15732.88
2019-09-29,2019.0,9.0,29.0,136.4,15442.2
2019-09-22,2019.0,9.0,22.0,136.78,15671.44
2019-09-15,2019.0,9.0,15.0,137.08,15775.22
2019-09-08,2019.0,9.0,8.0,137.0,16017.64
2019-09-01,2019.0,9.0,1.0,136.74,15899.94
2019-08-25,2019.0,8.0,25.0,137.26,15992.32
2019-08-18,2019.0,8.0,18.0,137.92,15811.82
2019-08-11,2019.0,8.0,11.0,137.62,15624.96
2019-08-04,2019.0,8.0,4.0,137.04,15741.78
2019-07-28,2019.0,7.0,28.0,136.3,16292.86
2019-07-21,2019.0,7.0,21.0,135.25,16400.98
2019-07-14,2019.0,7.0,14.0,135.2,16573.14
2019-07-07,2019.0,7.0,7.0,135.26,16316.64
2019-06-30,2019.0,6.0,30.0,135.678,16268.88
2019-06-23,2019.0,6.0,23.0,135.46,16032.42
2019-06-16,2019.0,6.0,16.0,135.84,16143.94
2019-06-09,2019.0,6.0,9.0,137.16,16013.4
2019-06-02,2019.0,6.0,2.0,136.82,16000.96
2019-05-26,2019.0,5.0,26.0,137.24,15973.04
2019-05-19,2019.0,5.0,19.0,137.22,15527.18
2019-05-12,2019.0,5.0,12.0,138.42,15200.64
2019-05-05,2019.0,5.0,5.0,137.378,15517.4
2019-04-28,2019.0,4.0,28.0,136.56,15968.96
2019-04-21,2019.0,4.0,21.0,137.2,15769.56
2019-04-14,2019.0,4.0,14.0,136.37,15703.3
2019-04-07,2019.0,4.0,7.0,136.4,15794.64
2019-03-31,2019.0,3.0,31.0,137.16,15779.36
2019-03-24,2019.0,3.0,24.0,138.36,15874.86
2019-03-17,2019.0,3.0,17.0,138.34,16059.84
2019-03-10,2019.0,3.0,10.0,138.22,15629.56
2019-03-03,2019.0,3.0,3.0,137.6,15627.22
2019-02-24,2019.0,2.0,24.0,136.78,15316.54
2019-02-17,2019.0,2.0,17.0,137.1,15957.26
2019-02-10,2019.0,2.0,10.0,137.64,15850.78
2019-02-03,2019.0,2.0,3.0,137.3,16174.78
2019-01-27,2019.0,1.0,27.0,137.654,16321.32
2019-01-20,2019.0,1.0,20.0,138.11,16139.4
2019-01-13,2019.0,1.0,13.0,138.3,16127.24
2019-01-06,2019.0,1.0,6.0,137.314,15841.18
2018-12-30,2018.0,12.0,30.0,137.95,15555.22
2018-12-23,2018.0,12.0,23.0,138.05,14965.04
2018-12-16,2018.0,12.0,16.0,138.87,14992.42
2018-12-09,2018.0,12.0,9.0,139.186,15081.74
2018-12-02,2018.0,12.0,2.0,138.486,14955.12
2018-11-25,2018.0,11.0,25.0,137.826,14768.7
2018-11-18,2018.0,11.0,18.0,137.798,14713.36
2018-11-11,2018.0,11.0,11.0,138.15,14199.68
2018-11-04,2018.0,11.0,4.0,139.158,13970.64
2018-10-28,2018.0,10.0,28.0,139.282,14313.58
2018-10-21,2018.0,10.0,21.0,140.094,14161.66
2018-10-14,2018.0,10.0,14.0,140.426,14336.04
2018-10-07,2018.0,10.0,7.0,141.15,14042.54
2018-09-30,2018.0,9.0,30.0,141.45,14189.4
2018-09-23,2018.0,9.0,23.0,140.95,14586.64
2018-09-16,2018.0,9.0,16.0,141.384,14799.0
2018-09-09,2018.0,9.0,9.0,141.25,14859.3
2018-09-02,2018.0,9.0,2.0,140.56,15230.28
2018-08-26,2018.0,8.0,26.0,139.974,15744.42
2018-08-19,2018.0,8.0,19.0,139.748,15565.94
2018-08-12,2018.0,8.0,12.0,139.654,15200.04
2018-08-05,2018.0,8.0,5.0,139.452,15642.96
2018-07-29,2018.0,7.0,29.0,139.13,15671.78
2018-07-22,2018.0,7.0,22.0,139.436,15435.76
2018-07-15,2018.0,7.0,15.0,139.638,14832.22
2018-07-08,2018.0,7.0,8.0,140.11,14831.36
2018-07-01,2018.0,7.0,1.0,139.672,14406.42
2018-06-24,2018.0,6.0,24.0,139.7,14420.36
2018-06-17,2018.0,6.0,17.0,139.468,14159.4
2018-06-10,2018.0,6.0,10.0,139.764,15092.08
2018-06-03,2018.0,6.0,3.0,138.772,15514.48
2018-05-27,2018.0,5.0,27.0,138.02,15293.52
2018-05-20,2018.0,5.0,20.0,138.236,15328.02
2018-05-13,2018.0,5.0,13.0,137.608,15377.56
2018-05-06,2018.0,5.0,6.0,137.862,15537.22
2018-04-29,2018.0,4.0,29.0,136.358,15125.38
2018-04-22,2018.0,4.0,22.0,136.26,15475.04
2018-04-15,2018.0,4.0,15.0,137.264,15486.44
2018-04-08,2018.0,4.0,8.0,136.93,15832.96
2018-04-01,2018.0,4.0,1.0,137.052,15924.32
2018-03-25,2018.0,3.0,25.0,137.342,15992.66
2018-03-18,2018.0,3.0,18.0,137.812,15974.6
2018-03-11,2018.0,3.0,11.0,136.86,16509.3
2018-03-04,2018.0,3.0,4.0,136.948,16778.02
2018-02-25,2018.0,2.0,25.0,136.95,16950.14
2018-02-18,2018.0,2.0,18.0,136.63,16968.12
2018-02-11,2018.0,2.0,11.0,137.478,17257.88
2018-02-04,2018.0,2.0,4.0,136.356,17040.38
2018-01-28,2018.0,1.0,28.0,136.31,17654.5
2018-01-21,2018.0,1.0,21.0,134.962,18115.4
2018-01-14,2018.0,1.0,14.0,134.424,17864.84
2018-01-07,2018.0,1.0,7.0,133.68,17662.24
2017-12-31,2017.0,12.0,31.0,132.558,17573.0
2017-12-24,2017.0,12.0,24.0,133.028,17149.84
2017-12-17,2017.0,12.0,17.0,133.0,16897.62
2017-12-10,2017.0,12.0,10.0,133.86,16707.08
2017-12-03,2017.0,12.0,3.0,133.95,16642.4
2017-11-26,2017.0,11.0,26.0,133.526,16321.04
2017-11-19,2017.0,11.0,19.0,134.258,16763.22
2017-11-12,2017.0,11.0,12.0,134.638,16655.16
2017-11-05,2017.0,11.0,5.0,135.474,16899.96
2017-10-29,2017.0,10.0,29.0,135.52,16785.26
2017-10-22,2017.0,10.0,22.0,136.198,16624.9
2017-10-15,2017.0,10.0,15.0,136.03,16874.9
2017-10-08,2017.0,10.0,8.0,135.3,16928.88
2017-10-01,2017.0,10.0,1.0,135.3,16654.76
2017-09-24,2017.0,9.0,24.0,134.78,16375.86
2017-09-17,2017.0,9.0,17.0,134.38,16595.54
2017-09-10,2017.0,9.0,10.0,135.578,16394.7
2017-09-03,2017.0,9.0,3.0,134.75,16078.5
2017-08-27,2017.0,8.0,27.0,135.148,15950.14
2017-08-20,2017.0,8.0,20.0,135.172,16063.28
2017-08-13,2017.0,8.0,13.0,135.852,16066.46
2017-08-06,2017.0,8.0,6.0,135.022,15889.86
2017-07-30,2017.0,7.0,30.0,133.61,15898.64
2017-07-23,2017.0,7.0,23.0,134.084,16175.94
2017-07-16,2017.0,7.0,16.0,134.438,16012.46
2017-07-09,2017.0,7.0,9.0,134.26,15804.8
2017-07-02,2017.0,7.0,2.0,134.16,15811.66
2017-06-25,2017.0,6.0,25.0,133.918,15719.32
2017-06-18,2017.0,6.0,18.0,133.22,15661.34
2017-06-11,2017.0,6.0,11.0,132.75,15797.44
