Date.18,year,month,day,Price.2
2021-03-28,2021.0,3.0,28.0,20619.52
2021-03-21,2021.0,3.0,21.0,20312.92
2021-03-14,2021.0,3.0,14.0,19921.56
2021-03-07,2021.0,3.0,7.0,20078.8
2021-02-28,2021.0,2.0,28.0,19557.3
2021-02-21,2021.0,2.0,21.0,19522.14
2021-02-14,2021.0,2.0,14.0,19474.26
2021-02-07,2021.0,2.0,7.0,18956.36
2021-01-31,2021.0,1.0,31.0,18956.36
2021-01-24,2021.0,1.0,24.0,18509.8
2021-01-17,2021.0,1.0,17.0,19305.84
2021-01-10,2021.0,1.0,10.0,19364.28
2021-01-03,2021.0,1.0,3.0,19339.54
2020-12-27,2020.0,12.0,27.0,18470.6
2020-12-20,2020.0,12.0,20.0,18050.92
2020-12-13,2020.0,12.0,13.0,17887.58
2020-12-06,2020.0,12.0,6.0,17839.08
2020-11-29,2020.0,11.0,29.0,17667.96
2020-11-22,2020.0,11.0,22.0,17385.6
2020-11-15,2020.0,11.0,15.0,17185.0
2020-11-08,2020.0,11.0,8.0,16857.2
2020-11-01,2020.0,11.0,1.0,16356.48
2020-10-25,2020.0,10.0,25.0,15838.66
2020-10-18,2020.0,10.0,18.0,16192.16
2020-10-11,2020.0,10.0,11.0,15940.08
2020-10-04,2020.0,10.0,4.0,16185.5
2020-09-27,2020.0,9.0,27.0,15892.92
2020-09-20,2020.0,9.0,20.0,15545.4
2020-09-13,2020.0,9.0,13.0,16357.12
2020-09-06,2020.0,9.0,6.0,16229.0
2020-08-30,2020.0,8.0,30.0,16213.5
2020-08-23,2020.0,8.0,23.0,16376.56
2020-08-16,2020.0,8.0,16.0,16398.94
2020-08-09,2020.0,8.0,9.0,16711.7
2020-08-02,2020.0,8.0,2.0,16677.92
2020-07-26,2020.0,7.0,26.0,16448.04
2020-07-19,2020.0,7.0,19.0,16468.72
2020-07-12,2020.0,7.0,12.0,16857.54
2020-07-05,2020.0,7.0,5.0,16794.94
2020-06-28,2020.0,6.0,28.0,16927.12
2020-06-21,2020.0,6.0,21.0,16666.0
2020-06-14,2020.0,6.0,14.0,16479.2
2020-06-07,2020.0,6.0,7.0,16345.64
2020-05-31,2020.0,5.0,31.0,16415.64
2020-05-24,2020.0,5.0,24.0,15685.28
2020-05-17,2020.0,5.0,17.0,15475.82
2020-05-10,2020.0,5.0,10.0,15531.6
2020-05-03,2020.0,5.0,3.0,15739.72
2020-04-26,2020.0,4.0,26.0,15752.28
2020-04-19,2020.0,4.0,19.0,14706.54
2020-04-12,2020.0,4.0,12.0,14957.44
2020-04-05,2020.0,4.0,5.0,14606.8
2020-03-29,2020.0,3.0,29.0,13792.38
2020-03-22,2020.0,3.0,22.0,13876.78
2020-03-15,2020.0,3.0,15.0,13202.06
2020-03-08,2020.0,3.0,8.0,14443.48
2020-03-01,2020.0,3.0,1.0,16275.0
2020-02-23,2020.0,2.0,23.0,16232.22
2020-02-16,2020.0,2.0,16.0,16839.66
2020-02-09,2020.0,2.0,9.0,16972.8
2020-02-02,2020.0,2.0,2.0,16661.92
2020-01-12,2020.0,1.0,12.0,17609.3
2020-01-05,2020.0,1.0,5.0,17394.8
2019-12-29,2019.0,12.0,29.0,17623.3
2019-12-22,2019.0,12.0,22.0,17534.98
