Date.19,year,month,day,USD/CUR4(Price),Price.3
2021-03-28,2021.0,3.0,28.0,95.6,1985.26
2021-03-21,2021.0,3.0,21.0,95.18,1960.32
2021-03-14,2021.0,3.0,14.0,94.62,1951.82
2021-03-07,2021.0,3.0,7.0,94.34,1979.32
2021-02-28,2021.0,2.0,28.0,94.06,1949.66
2021-02-21,2021.0,2.0,21.0,93.94,1892.9
2021-02-14,2021.0,2.0,14.0,92.92,1894.02
2021-02-07,2021.0,2.0,7.0,92.74000000000001,1918.26
2021-01-31,2021.0,1.0,31.0,93.0,1900.1
2021-01-24,2021.0,1.0,24.0,92.72,1866.32
2021-01-17,2021.0,1.0,17.0,92.92,1912.46
2021-01-10,2021.0,1.0,10.0,93.18,1948.72
2021-01-03,2021.0,1.0,3.0,93.28,1988.18
2020-12-27,2020.0,12.0,27.0,92.97999999999999,1853.9
2020-12-20,2020.0,12.0,20.0,93.08,1869.7
2020-12-13,2020.0,12.0,13.0,92.68,1927.56
2020-12-06,2020.0,12.0,6.0,93.22,1949.98
2020-11-29,2020.0,11.0,29.0,93.42,1913.34
2020-11-22,2020.0,11.0,22.0,93.64,1899.28
2020-11-15,2020.0,11.0,15.0,93.58,1841.94
2020-11-08,2020.0,11.0,8.0,93.3,1783.8
2020-11-01,2020.0,11.0,1.0,94.24000000000001,1629.1
2020-10-25,2020.0,10.0,25.0,95.28,1525.52
2020-10-18,2020.0,10.0,18.0,95.66,1558.36
2020-10-11,2020.0,10.0,11.0,95.38,1586.0
2020-10-04,2020.0,10.0,4.0,94.94,1634.58
2020-09-27,2020.0,9.0,27.0,96.12,1587.62
2020-09-20,2020.0,9.0,20.0,96.24000000000001,1605.06
2020-09-13,2020.0,9.0,13.0,95.16,1686.66
2020-09-06,2020.0,9.0,6.0,95.53999999999999,1680.28
2020-08-30,2020.0,8.0,30.0,95.78,1722.2
2020-08-23,2020.0,8.0,23.0,95.22,1743.58
2020-08-16,2020.0,8.0,16.0,96.08,1713.14
2020-08-09,2020.0,8.0,9.0,95.25999999999999,1760.38
2020-08-02,2020.0,8.0,2.0,95.46000000000001,1746.76
2020-07-26,2020.0,7.0,26.0,95.5,1758.96
2020-07-19,2020.0,7.0,19.0,96.22,1784.0
2020-07-12,2020.0,7.0,12.0,96.36,1817.18
2020-07-05,2020.0,7.0,5.0,95.68,1804.42
2020-06-28,2020.0,6.0,28.0,95.22,1849.98
2020-06-21,2020.0,6.0,21.0,94.83,1790.22
2020-06-14,2020.0,6.0,14.0,95.03999999999999,1848.34
2020-06-07,2020.0,6.0,7.0,94.97999999999999,1874.04
2020-05-31,2020.0,5.0,31.0,96.02000000000001,1963.74
2020-05-24,2020.0,5.0,24.0,96.64,1825.02
2020-05-17,2020.0,5.0,17.0,96.75999999999999,1768.62
2020-05-10,2020.0,5.0,10.0,97.18,1742.14
2020-05-03,2020.0,5.0,3.0,97.4,1729.54
2020-04-26,2020.0,4.0,26.0,98.1,1780.12
2020-04-19,2020.0,4.0,19.0,97.92,1717.06
2020-04-12,2020.0,4.0,12.0,98.04,1699.98
2020-04-05,2020.0,4.0,5.0,98.38,1691.0
2020-03-29,2020.0,3.0,29.0,99.04,1566.34
2020-03-22,2020.0,3.0,22.0,98.14,1513.1
2020-03-15,2020.0,3.0,15.0,98.44,1545.22
2020-03-08,2020.0,3.0,8.0,96.64,1531.02
2020-03-01,2020.0,3.0,1.0,95.8,1861.44
2020-02-23,2020.0,2.0,23.0,96.03999999999999,1828.68
2020-02-16,2020.0,2.0,16.0,96.2,2040.02
2020-02-09,2020.0,2.0,9.0,95.42,2077.04
2020-02-02,2020.0,2.0,2.0,95.66,2094.8
2020-01-26,2020.0,1.0,26.0,95.44,2069.16
2020-01-19,2020.0,1.0,19.0,94.14,2152.64
2020-01-12,2020.0,1.0,12.0,93.8,2195.44
2020-01-05,2020.0,1.0,5.0,93.46000000000001,2175.06
