Date.2,year,month,day,"HCC, FOB Aust"
2021-04-01,2021.0,4.0,1.0,262.36
2021-03-31,2021.0,3.0,31.0,262.34
2021-03-30,2021.0,3.0,30.0,261.94
2021-03-29,2021.0,3.0,29.0,259.94
2021-03-26,2021.0,3.0,26.0,260.48
2021-03-25,2021.0,3.0,25.0,258.54
2021-03-24,2021.0,3.0,24.0,256.92
2021-03-23,2021.0,3.0,23.0,256.28
2021-03-22,2021.0,3.0,22.0,260.8
2021-03-19,2021.0,3.0,19.0,260.92
2021-03-18,2021.0,3.0,18.0,260.56
2021-03-17,2021.0,3.0,17.0,263.86
2021-03-16,2021.0,3.0,16.0,265.2
2021-03-15,2021.0,3.0,15.0,262.04
2021-03-12,2021.0,3.0,12.0,268.14
2021-03-11,2021.0,3.0,11.0,270.26
2021-03-10,2021.0,3.0,10.0,269.54
2021-03-09,2021.0,3.0,9.0,271.8
2021-03-08,2021.0,3.0,8.0,276.06
2021-03-05,2021.0,3.0,5.0,278.98
2021-03-04,2021.0,3.0,4.0,281.9
2021-03-03,2021.0,3.0,3.0,282.36
2021-03-02,2021.0,3.0,2.0,288.52
2021-03-01,2021.0,3.0,1.0,287.1
2021-02-26,2021.0,2.0,26.0,284.46
2021-02-25,2021.0,2.0,25.0,287.0
2021-02-24,2021.0,2.0,24.0,310.86
2021-02-23,2021.0,2.0,23.0,310.56
2021-02-22,2021.0,2.0,22.0,307.1
2021-02-19,2021.0,2.0,19.0,315.26
2021-02-18,2021.0,2.0,18.0,315.52
2021-02-17,2021.0,2.0,17.0,315.4
2021-02-16,2021.0,2.0,16.0,316.52
2021-02-15,2021.0,2.0,15.0,321.62
2021-02-11,2021.0,2.0,11.0,317.02
2021-02-10,2021.0,2.0,10.0,324.04
2021-02-09,2021.0,2.0,9.0,341.08
2021-02-08,2021.0,2.0,8.0,341.08
2021-02-05,2021.0,2.0,5.0,346.06
2021-02-04,2021.0,2.0,4.0,348.08
2021-02-03,2021.0,2.0,3.0,348.06
2021-02-02,2021.0,2.0,2.0,346.58
2021-02-01,2021.0,2.0,1.0,346.08
2021-01-29,2021.0,1.0,29.0,342.84
2021-01-28,2021.0,1.0,28.0,343.2
2021-01-27,2021.0,1.0,27.0,343.2
2021-01-26,2021.0,1.0,26.0,333.42
2021-01-25,2021.0,1.0,25.0,324.9
2021-01-22,2021.0,1.0,22.0,300.98
2021-01-21,2021.0,1.0,21.0,301.94
2021-01-20,2021.0,1.0,20.0,297.5
2021-01-19,2021.0,1.0,19.0,280.62
2021-01-18,2021.0,1.0,18.0,281.3
2021-01-15,2021.0,1.0,15.0,280.82
2021-01-14,2021.0,1.0,14.0,260.78
2021-01-13,2021.0,1.0,13.0,261.76
2021-01-12,2021.0,1.0,12.0,240.98
2021-01-11,2021.0,1.0,11.0,240.86
2021-01-08,2021.0,1.0,8.0,240.86
2021-01-07,2021.0,1.0,7.0,240.98
2021-01-06,2021.0,1.0,6.0,240.84
2021-01-05,2021.0,1.0,5.0,240.48
2021-01-04,2021.0,1.0,4.0,239.98
2020-12-31,2020.0,12.0,31.0,241.72
2020-12-30,2020.0,12.0,30.0,241.78
2020-12-29,2020.0,12.0,29.0,242.76
2020-12-28,2020.0,12.0,28.0,241.16
2020-12-24,2020.0,12.0,24.0,240.42
2020-12-23,2020.0,12.0,23.0,240.52
2020-12-22,2020.0,12.0,22.0,238.36
2020-12-21,2020.0,12.0,21.0,237.78
2020-12-18,2020.0,12.0,18.0,237.48
2020-12-17,2020.0,12.0,17.0,235.92
2020-12-16,2020.0,12.0,16.0,235.92
2020-12-15,2020.0,12.0,15.0,238.52
2020-12-14,2020.0,12.0,14.0,238.82
2020-12-11,2020.0,12.0,11.0,239.08
2020-12-10,2020.0,12.0,10.0,238.78
2020-12-09,2020.0,12.0,9.0,238.62
2020-12-08,2020.0,12.0,8.0,239.16
2020-12-07,2020.0,12.0,7.0,239.14
2020-12-04,2020.0,12.0,4.0,238.24
2020-12-03,2020.0,12.0,3.0,239.16
2020-12-02,2020.0,12.0,2.0,237.66
2020-12-01,2020.0,12.0,1.0,236.94
2020-11-30,2020.0,11.0,30.0,235.8
2020-11-27,2020.0,11.0,27.0,235.14
2020-11-26,2020.0,11.0,26.0,236.08
2020-11-25,2020.0,11.0,25.0,236.0
2020-11-24,2020.0,11.0,24.0,250.34
2020-11-23,2020.0,11.0,23.0,231.44
2020-11-20,2020.0,11.0,20.0,229.8
2020-11-19,2020.0,11.0,19.0,228.16
2020-11-18,2020.0,11.0,18.0,230.74
2020-11-17,2020.0,11.0,17.0,233.76
2020-11-16,2020.0,11.0,16.0,233.76
2020-11-13,2020.0,11.0,13.0,241.8
2020-11-12,2020.0,11.0,12.0,241.8
2020-11-11,2020.0,11.0,11.0,241.8
2020-11-10,2020.0,11.0,10.0,249.18
2020-11-09,2020.0,11.0,9.0,246.56
2020-11-06,2020.0,11.0,6.0,247.9
2020-11-05,2020.0,11.0,5.0,245.5
