Date.20,year,month,day,USD/CUR5 (Price)
2021-03-28,2021.0,3.0,28.0,254.42
2021-03-21,2021.0,3.0,21.0,252.28
2021-03-14,2021.0,3.0,14.0,250.74
2021-03-07,2021.0,3.0,7.0,251.0
2021-02-28,2021.0,2.0,28.0,249.68
2021-02-21,2021.0,2.0,21.0,246.16
2021-02-14,2021.0,2.0,14.0,243.86
2021-02-07,2021.0,2.0,7.0,242.86
2021-01-31,2021.0,1.0,31.0,243.72
2021-01-24,2021.0,1.0,24.0,242.36
2021-01-17,2021.0,1.0,17.0,240.54
2021-01-10,2021.0,1.0,10.0,240.74
2021-01-03,2021.0,1.0,3.0,240.86
2020-12-27,2020.0,12.0,27.0,239.4
2020-12-20,2020.0,12.0,20.0,239.96
2020-12-13,2020.0,12.0,13.0,239.62
2020-12-06,2020.0,12.0,6.0,241.02
2020-11-29,2020.0,11.0,29.0,241.28
2020-11-22,2020.0,11.0,22.0,241.2
2020-11-15,2020.0,11.0,15.0,240.7
2020-11-08,2020.0,11.0,8.0,242.24
2020-11-01,2020.0,11.0,1.0,239.66
2020-10-25,2020.0,10.0,25.0,242.28
2020-10-18,2020.0,10.0,18.0,242.38
2020-10-11,2020.0,10.0,11.0,243.8
2020-10-04,2020.0,10.0,4.0,244.18
2020-09-27,2020.0,9.0,27.0,243.66
2020-09-20,2020.0,9.0,20.0,244.2
2020-09-13,2020.0,9.0,13.0,242.1
2020-09-06,2020.0,9.0,6.0,245.28
2020-08-30,2020.0,8.0,30.0,245.46
2020-08-23,2020.0,8.0,23.0,243.68
2020-08-16,2020.0,8.0,16.0,244.56
2020-08-09,2020.0,8.0,9.0,246.18
2020-08-02,2020.0,8.0,2.0,244.82
2020-07-26,2020.0,7.0,26.0,244.76
2020-07-19,2020.0,7.0,19.0,245.28
2020-07-12,2020.0,7.0,12.0,247.0
2020-07-05,2020.0,7.0,5.0,246.8
2020-06-28,2020.0,6.0,28.0,248.02
2020-06-21,2020.0,6.0,21.0,247.44
2020-06-14,2020.0,6.0,14.0,246.78
2020-06-07,2020.0,6.0,7.0,247.72
2020-05-31,2020.0,5.0,31.0,252.18
2020-05-24,2020.0,5.0,24.0,248.58
2020-05-17,2020.0,5.0,17.0,248.26
2020-05-10,2020.0,5.0,10.0,247.08
2020-05-03,2020.0,5.0,3.0,246.34
2020-04-26,2020.0,4.0,26.0,246.88
2020-04-19,2020.0,4.0,19.0,248.02
2020-04-12,2020.0,4.0,12.0,248.06
2020-04-05,2020.0,4.0,5.0,249.94
2020-03-29,2020.0,3.0,29.0,249.92
2020-03-22,2020.0,3.0,22.0,248.8
2020-03-15,2020.0,3.0,15.0,254.64
2020-03-08,2020.0,3.0,8.0,248.84
2020-03-01,2020.0,3.0,1.0,243.62
2020-02-23,2020.0,2.0,23.0,249.16
2020-02-16,2020.0,2.0,16.0,256.16
2020-02-09,2020.0,2.0,9.0,252.5
2020-02-02,2020.0,2.0,2.0,252.46
2020-01-26,2020.0,1.0,26.0,249.78
2020-01-19,2020.0,1.0,19.0,251.56
2020-01-12,2020.0,1.0,12.0,253.32
2020-01-05,2020.0,1.0,5.0,251.94
2019-12-29,2019.0,12.0,29.0,249.18
2019-12-22,2019.0,12.0,22.0,251.84
2019-12-15,2019.0,12.0,15.0,251.88
2019-12-08,2019.0,12.0,8.0,251.76
2019-12-01,2019.0,12.0,1.0,250.22
2019-11-24,2019.0,11.0,24.0,252.04
2019-11-17,2019.0,11.0,17.0,250.32
2019-11-10,2019.0,11.0,10.0,250.5
2019-11-03,2019.0,11.0,3.0,251.56
2019-10-27,2019.0,10.0,27.0,249.38
2019-10-20,2019.0,10.0,20.0,250.32
2019-10-13,2019.0,10.0,13.0,249.86
2019-10-06,2019.0,10.0,6.0,249.84
2019-09-29,2019.0,9.0,29.0,246.88
2019-09-22,2019.0,9.0,22.0,248.88
2019-09-15,2019.0,9.0,15.0,248.12
2019-09-08,2019.0,9.0,8.0,249.16
2019-09-01,2019.0,9.0,1.0,246.84
2019-08-25,2019.0,8.0,25.0,245.62
2019-08-18,2019.0,8.0,18.0,243.82
2019-08-11,2019.0,8.0,11.0,245.76
2019-08-04,2019.0,8.0,4.0,244.34
