Date.21,year,month,day,Price.4,Year.1,Month,Third,Daily production
2021-03-28,2021.0,3.0,28.0,5665.86,4075.0,37.0,37.0,37.56472
2021-03-21,2021.0,3.0,21.0,5608.22,4075.0,37.0,35.0,37.30886
2021-03-14,2021.0,3.0,14.0,5666.32,4075.0,35.0,39.0,37.3532
2021-03-07,2021.0,3.0,7.0,5523.62,4075.0,35.0,37.0,37.4362
2021-02-28,2021.0,2.0,28.0,5445.98,4075.0,35.0,35.0,37.39122
2021-02-21,2021.0,2.0,21.0,5397.22,4073.0,57.0,39.0,37.32574545454546
2021-02-14,2021.0,2.0,14.0,5678.12,4073.0,57.0,37.0,37.40324
2021-02-07,2021.0,2.0,7.0,5688.76,4073.0,57.0,35.0,37.40502
2021-01-31,2021.0,1.0,31.0,5547.8,4073.0,55.0,39.0,37.21146
2021-01-24,2021.0,1.0,24.0,5410.78,4073.0,55.0,37.0,37.2268
2021-01-17,2021.0,1.0,17.0,5534.84,4073.0,55.0,35.0,37.29228
2021-01-10,2021.0,1.0,10.0,5519.2,4073.0,53.0,39.0,37.3132
2021-01-03,2021.0,1.0,3.0,5536.56,4073.0,53.0,37.0,37.3466
2020-12-27,2020.0,12.0,27.0,5422.52,4073.0,53.0,35.0,37.3406
2020-12-20,2020.0,12.0,20.0,5331.56,4073.0,51.0,39.0,37.3774
2020-12-13,2020.0,12.0,13.0,5344.48,4073.0,51.0,37.0,37.2912
2020-12-06,2020.0,12.0,6.0,5305.52,4073.0,51.0,35.0,37.2732
2020-11-29,2020.0,11.0,29.0,5322.82,4073.0,49.0,39.0,37.32
2020-11-22,2020.0,11.0,22.0,5369.56,4073.0,49.0,37.0,37.322
2020-11-15,2020.0,11.0,15.0,5133.74,4073.0,49.0,35.0,37.3068
2020-11-08,2020.0,11.0,8.0,5100.8,4073.0,47.0,39.0,37.34459800262282
2020-11-01,2020.0,11.0,1.0,4998.66,4073.0,47.0,37.0,37.2768
2020-10-25,2020.0,10.0,25.0,4744.8,4073.0,47.0,35.0,37.2614
2020-10-18,2020.0,10.0,18.0,4860.12,4073.0,45.0,39.0,37.2842
2020-10-11,2020.0,10.0,11.0,4864.08,4073.0,45.0,37.0,37.2846
2020-10-04,2020.0,10.0,4.0,4913.6,4073.0,45.0,35.0,37.2184
2020-09-27,2020.0,9.0,27.0,4783.38,4073.0,43.0,39.0,37.185
2020-09-20,2020.0,9.0,20.0,4813.08,4073.0,43.0,37.0,37.1608
2020-09-13,2020.0,9.0,13.0,4804.84,4073.0,43.0,35.0,37.1034
2020-09-06,2020.0,9.0,6.0,4733.34,4073.0,41.0,39.0,37.024
2020-08-30,2020.0,8.0,30.0,4668.28,4073.0,41.0,37.0,36.903
2020-08-23,2020.0,8.0,23.0,4622.8,4073.0,41.0,35.0,36.8916
2020-08-16,2020.0,8.0,16.0,4653.94,4073.0,39.0,39.0,36.6538
2020-08-09,2020.0,8.0,9.0,4695.24,4073.0,39.0,37.0,36.6732
2020-08-02,2020.0,8.0,2.0,4475.54,4073.0,39.0,35.0,36.6172
2020-07-26,2020.0,7.0,26.0,4400.52,4073.0,37.0,39.0,36.6148
2020-07-19,2020.0,7.0,19.0,4555.7,4073.0,37.0,37.0,36.6698
2020-07-12,2020.0,7.0,12.0,4520.64,4073.0,37.0,35.0,36.8788
2020-07-05,2020.0,7.0,5.0,4479.06,4073.0,35.0,39.0,36.9858
2020-06-28,2020.0,6.0,28.0,4501.3,4073.0,35.0,37.0,36.9494
2020-06-21,2020.0,6.0,21.0,4552.92,4073.0,35.0,35.0,36.9356
2020-06-14,2020.0,6.0,14.0,4539.0,4071.0,57.0,39.0,36.7656
2020-06-07,2020.0,6.0,7.0,4479.3,4071.0,57.0,37.0,36.8798
2020-05-31,2020.0,5.0,31.0,4563.08,4071.0,57.0,35.0,36.9344
2020-05-24,2020.0,5.0,24.0,4448.14,4071.0,55.0,39.0,36.9294
2020-05-17,2020.0,5.0,17.0,4217.62,4071.0,55.0,37.0,36.9924
2020-05-10,2020.0,5.0,10.0,4120.5,4071.0,55.0,35.0,36.9748
2020-05-03,2020.0,5.0,3.0,4115.6,4071.0,53.0,39.0,36.936
2020-04-26,2020.0,4.0,26.0,4027.6,4071.0,53.0,37.0,36.9074
2020-04-19,2020.0,4.0,19.0,3978.48,4071.0,53.0,35.0,36.7778
2020-04-12,2020.0,4.0,12.0,4046.9,4071.0,51.0,39.0,36.5976
2020-04-05,2020.0,4.0,5.0,3946.54,4071.0,51.0,37.0,37.2098
2020-03-29,2020.0,3.0,29.0,3663.6,4071.0,51.0,35.0,37.0036
2020-03-22,2020.0,3.0,22.0,3948.84,4071.0,49.0,39.0,37.0316
2020-03-15,2020.0,3.0,15.0,3509.3,4071.0,49.0,37.0,37.1085
2020-03-08,2020.0,3.0,8.0,3435.44,4071.0,49.0,35.0,37.09618
2020-03-01,2020.0,3.0,1.0,3942.54,4071.0,47.0,39.0,36.89130909090909
2020-02-23,2020.0,2.0,23.0,3988.0,4071.0,47.0,37.0,37.03526
2020-02-16,2020.0,2.0,16.0,4412.14,4071.0,47.0,35.0,37.0273
2020-02-09,2020.0,2.0,9.0,4511.82,4071.0,45.0,39.0,37.05334
2020-02-02,2020.0,2.0,2.0,4570.4,4071.0,45.0,37.0,37.1302
2020-01-26,2020.0,1.0,26.0,4427.88,4071.0,45.0,35.0,37.12108
2020-01-19,2020.0,1.0,19.0,4584.28,4071.0,43.0,39.0,37.009
2020-01-12,2020.0,1.0,12.0,4593.32,4071.0,43.0,37.0,37.07626
2020-01-05,2020.0,1.0,5.0,4622.54,4071.0,43.0,35.0,37.0918
2019-12-29,2019.0,12.0,29.0,4546.54,4071.0,41.0,39.0,37.006
2019-12-22,2019.0,12.0,22.0,4577.34,4071.0,41.0,37.0,37.0114
2019-12-15,2019.0,12.0,15.0,4576.98,4071.0,41.0,35.0,36.91
2019-12-08,2019.0,12.0,8.0,4585.88,4071.0,39.0,39.0,36.66927272727273
2019-12-01,2019.0,12.0,1.0,4531.14,4071.0,39.0,37.0,36.8046
2019-11-24,2019.0,11.0,24.0,4494.14,4071.0,39.0,35.0,36.76864
2019-11-17,2019.0,11.0,17.0,4481.46,4071.0,37.0,39.0,36.922075
2019-11-10,2019.0,11.0,10.0,4457.56,4071.0,37.0,37.0,36.89474
2019-11-03,2019.0,11.0,3.0,4479.02,4071.0,37.0,35.0,36.8437
2019-10-27,2019.0,10.0,27.0,4419.26,4071.0,35.0,39.0,36.63438181818182
2019-10-20,2019.0,10.0,20.0,4345.82,4071.0,35.0,37.0,36.61446
2019-10-13,2019.0,10.0,13.0,4278.86,4071.0,35.0,35.0,36.68878
2019-10-06,2019.0,10.0,6.0,4192.74,4069.0,57.0,39.0,36.56290909090909
2019-09-29,2019.0,9.0,29.0,4138.58,4069.0,57.0,37.0,36.67368
2019-09-22,2019.0,9.0,22.0,4223.14,4069.0,57.0,35.0,36.71648
2019-09-15,2019.0,9.0,15.0,4237.06,4069.0,55.0,39.0,36.7092
2019-09-08,2019.0,9.0,8.0,4212.6,4069.0,55.0,37.0,36.90306
2019-09-01,2019.0,9.0,1.0,4064.76,4069.0,55.0,35.0,36.83288
2019-08-25,2019.0,8.0,25.0,3999.58,4069.0,53.0,39.0,36.81130909090909
2019-08-18,2019.0,8.0,18.0,3973.18,4069.0,53.0,37.0,36.90222
2019-08-11,2019.0,8.0,11.0,3901.86,4069.0,53.0,35.0,36.97478
2019-08-04,2019.0,8.0,4.0,3937.36,4069.0,51.0,39.0,36.96964
2019-07-28,2019.0,7.0,28.0,4017.66,4069.0,51.0,37.0,36.96684
2019-07-21,2019.0,7.0,21.0,4103.74,4069.0,51.0,35.0,36.94404
2019-07-14,2019.0,7.0,14.0,4070.84,4069.0,49.0,39.0,36.80381818181818
2019-07-07,2019.0,7.0,7.0,4081.44,4069.0,49.0,37.0,36.7904
2019-06-30,2019.0,6.0,30.0,4139.9,4069.0,49.0,35.0,36.87408
