Date.22,year,month,day,Total Exports,Total Imports
2021-04-01,2021.0,4.0,1.0,48.946,36.848374
2021-03-01,2021.0,3.0,1.0,48.056,36.8683996
2021-02-01,2021.0,2.0,1.0,42.8,36.532745
2021-01-01,2021.0,1.0,1.0,,
2020-12-01,2020.0,12.0,1.0,42.7,37.2900946
2020-11-01,2020.0,11.0,1.0,41.804,39.768
2020-10-01,2020.0,10.0,1.0,41.078,39.86
2020-09-01,2020.0,9.0,1.0,40.656,44.126
2020-08-01,2020.0,8.0,1.0,40.36,43.782
2020-07-01,2020.0,7.0,1.0,41.36,43.122
2020-06-01,2020.0,6.0,1.0,40.4,41.486
2020-05-01,2020.0,5.0,1.0,41.8,37.096
2020-04-01,2020.0,4.0,1.0,45.64,35.886
2020-03-01,2020.0,3.0,1.0,45.952,36.308
2020-02-01,2020.0,2.0,1.0,48.62,39.43
2020-01-01,2020.0,1.0,1.0,,
2019-12-01,2019.0,12.0,1.0,42.368,37.634
2019-11-01,2019.0,11.0,1.0,42.16,36.316
2019-10-01,2019.0,10.0,1.0,42.96,35.382
2019-09-01,2019.0,9.0,1.0,43.28,35.928
2019-08-01,2019.0,8.0,1.0,43.012,35.436
2019-07-01,2019.0,7.0,1.0,44.14,35.116
2019-06-01,2019.0,6.0,1.0,43.612,35.096
2019-05-01,2019.0,5.0,1.0,44.486,35.13
2019-04-01,2019.0,4.0,1.0,45.652,35.05
2019-03-01,2019.0,3.0,1.0,45.654,34.884
2019-02-01,2019.0,2.0,1.0,42.024,34.77
2019-01-01,2019.0,1.0,1.0,45.376,35.484
2018-12-01,2018.0,12.0,1.0,44.112,35.012
2018-11-01,2018.0,11.0,1.0,43.596,
2018-10-01,2018.0,10.0,1.0,44.0,
2018-09-01,2018.0,9.0,1.0,44.9,35.938
2018-08-01,2018.0,8.0,1.0,44.76,
2018-07-01,2018.0,7.0,1.0,44.772,
2018-06-01,2018.0,6.0,1.0,46.88,
2018-05-01,2018.0,5.0,1.0,46.76,
2018-04-01,2018.0,4.0,1.0,45.96,
2018-03-01,2018.0,3.0,1.0,44.3,35.468
2018-02-01,2018.0,2.0,1.0,42.7,35.054
2018-01-01,2018.0,1.0,1.0,42.3,35.382
2017-12-01,2017.0,12.0,1.0,44.34,35.402
2017-11-01,2017.0,11.0,1.0,43.66,35.272
2017-10-01,2017.0,10.0,1.0,42.934,34.902
2017-09-01,2017.0,9.0,1.0,43.2,35.47
2017-08-01,2017.0,8.0,1.0,46.04,34.976
2017-07-01,2017.0,7.0,1.0,46.92,34.97
2017-06-01,2017.0,6.0,1.0,46.58,35.266
2017-05-01,2017.0,5.0,1.0,46.916,35.222
2017-04-01,2017.0,4.0,1.0,45.98,35.152
2017-03-01,2017.0,3.0,1.0,48.12,35.596
2017-02-01,2017.0,2.0,1.0,44.5,35.18
2017-01-01,2017.0,1.0,1.0,47.84,35.186
2016-12-01,2016.0,12.0,1.0,48.604,
2016-11-01,2016.0,11.0,1.0,49.239504876,
2016-10-01,2016.0,10.0,1.0,48.392043034,
2016-09-01,2016.0,9.0,1.0,50.598754864,
2016-08-01,2016.0,8.0,1.0,51.016154664,
2016-07-01,2016.0,7.0,1.0,53.60961004,
2016-06-01,2016.0,6.0,1.0,54.87404064,
2016-05-01,2016.0,5.0,1.0,51.84233058,
2016-04-01,2016.0,4.0,1.0,51.15231824,
2016-03-01,2016.0,3.0,1.0,52.95685938,
2016-02-01,2016.0,2.0,1.0,49.21933814,
2016-01-01,2016.0,1.0,1.0,52.47946656,
2015-12-01,2015.0,12.0,1.0,54.31432716,
2015-11-01,2015.0,11.0,1.0,52.21723932,
2015-10-01,2015.0,10.0,1.0,51.0475364,
2015-09-01,2015.0,9.0,1.0,55.52558714,
2015-08-01,2015.0,8.0,1.0,52.497691262,
2015-07-01,2015.0,7.0,1.0,52.50496394,
2015-06-01,2015.0,6.0,1.0,50.819731604,
2015-05-01,2015.0,5.0,1.0,51.46200524,
2015-04-01,2015.0,4.0,1.0,50.11128344,
2015-03-01,2015.0,3.0,1.0,48.418484254,
2015-02-01,2015.0,2.0,1.0,48.625494144,
2015-01-01,2015.0,1.0,1.0,53.6055098,
