Date.23,year,month,day,Billets
2021-04-01,2021.0,4.0,1.0,1419.0802
2021-03-01,2021.0,3.0,1.0,982.285
2021-02-01,2021.0,2.0,1.0,510.8879
2021-01-01,2021.0,1.0,1.0,510.8879
2020-12-01,2020.0,12.0,1.0,1043.1456
2020-11-01,2020.0,11.0,1.0,2062.4524
2020-10-01,2020.0,10.0,1.0,2196.15
2020-09-01,2020.0,9.0,1.0,3267.4604
2020-08-01,2020.0,8.0,1.0,3730.9858
2020-07-01,2020.0,7.0,1.0,3060.4232
2020-06-01,2020.0,6.0,1.0,3332.286
2020-05-01,2020.0,5.0,1.0,1130.418
2020-04-01,2020.0,4.0,1.0,489.554
2020-03-01,2020.0,3.0,1.0,487.04
2020-02-01,2020.0,2.0,1.0,719.146
2020-01-01,2020.0,1.0,1.0,719.146
2019-12-01,2019.0,12.0,1.0,1286.206
2019-11-01,2019.0,11.0,1.0,1004.818
2019-10-01,2019.0,10.0,1.0,264.376
2019-09-01,2019.0,9.0,1.0,443.502
2019-08-01,2019.0,8.0,1.0,362.594
2019-07-01,2019.0,7.0,1.0,224.442
2019-06-01,2019.0,6.0,1.0,123.61
2019-05-01,2019.0,5.0,1.0,178.088
2019-04-01,2019.0,4.0,1.0,80.94200000000001
2019-03-01,2019.0,3.0,1.0,106.958
2019-02-01,2019.0,2.0,1.0,162.764
2019-01-01,2019.0,1.0,1.0,138.04
