Date.25,year,month,day,"FAI, YoY %"
2021-04-01,2021.0,4.0,1.0,33.398
2021-03-01,2021.0,3.0,1.0,33.512
2021-02-01,2021.0,2.0,1.0,33.35
2021-01-01,2021.0,1.0,1.0,33.35
2020-12-01,2020.0,12.0,1.0,33.058
2020-11-01,2020.0,11.0,1.0,33.052
2020-10-01,2020.0,10.0,1.0,33.036
2020-09-01,2020.0,9.0,1.0,33.016
2020-08-01,2020.0,8.0,1.0,32.994
2020-07-01,2020.0,7.0,1.0,32.968
2020-06-01,2020.0,6.0,1.0,32.938
2020-05-01,2020.0,5.0,1.0,32.874
2020-04-01,2020.0,4.0,1.0,32.794
2020-03-01,2020.0,3.0,1.0,32.678
2020-02-01,2020.0,2.0,1.0,32.51
2020-01-01,2020.0,1.0,1.0,32.51
2019-12-01,2019.0,12.0,1.0,33.108
2019-11-01,2019.0,11.0,1.0,33.104
2019-10-01,2019.0,10.0,1.0,33.104
2019-09-01,2019.0,9.0,1.0,33.108
2019-08-01,2019.0,8.0,1.0,33.11
2019-07-01,2019.0,7.0,1.0,33.114
2019-06-01,2019.0,6.0,1.0,33.116
2019-05-01,2019.0,5.0,1.0,33.112
2019-04-01,2019.0,4.0,1.0,33.122
2019-03-01,2019.0,3.0,1.0,33.126
2019-02-01,2019.0,2.0,1.0,33.122
2019-01-01,2019.0,1.0,1.0,33.122
2018-12-01,2018.0,12.0,1.0,33.118
2018-11-01,2018.0,11.0,1.0,33.118
2018-10-01,2018.0,10.0,1.0,33.114
2018-09-01,2018.0,9.0,1.0,33.108
2018-08-01,2018.0,8.0,1.0,33.106
2018-07-01,2018.0,7.0,1.0,33.11
2018-06-01,2018.0,6.0,1.0,33.12
2018-05-01,2018.0,5.0,1.0,33.122
2018-04-01,2018.0,4.0,1.0,33.14
2018-03-01,2018.0,3.0,1.0,33.15
2018-02-01,2018.0,2.0,1.0,33.158
2018-01-01,2018.0,1.0,1.0,33.158
2017-12-01,2017.0,12.0,1.0,33.144
2017-11-01,2017.0,11.0,1.0,33.144
2017-10-01,2017.0,10.0,1.0,33.146
2017-09-01,2017.0,9.0,1.0,33.15
2017-08-01,2017.0,8.0,1.0,33.156
2017-07-01,2017.0,7.0,1.0,33.166
2017-06-01,2017.0,6.0,1.0,33.172
2017-05-01,2017.0,5.0,1.0,33.172
2017-04-01,2017.0,4.0,1.0,33.178
2017-03-01,2017.0,3.0,1.0,33.184
2017-02-01,2017.0,2.0,1.0,33.178
2017-01-01,2017.0,1.0,1.0,33.178
2016-12-01,2016.0,12.0,1.0,33.162
2016-11-01,2016.0,11.0,1.0,33.166
2016-10-01,2016.0,10.0,1.0,33.166
2016-09-01,2016.0,9.0,1.0,33.164
2016-08-01,2016.0,8.0,1.0,33.162
2016-07-01,2016.0,7.0,1.0,33.162
2016-06-01,2016.0,6.0,1.0,33.18
2016-05-01,2016.0,5.0,1.0,33.192
2016-04-01,2016.0,4.0,1.0,33.21
2016-03-01,2016.0,3.0,1.0,33.214
2016-02-01,2016.0,2.0,1.0,33.204
2016-01-01,2016.0,1.0,1.0,33.204
2015-12-01,2015.0,12.0,1.0,33.2
2015-11-01,2015.0,11.0,1.0,33.204
2015-10-01,2015.0,10.0,1.0,33.204
2015-09-01,2015.0,9.0,1.0,33.206
2015-08-01,2015.0,8.0,1.0,33.218
2015-07-01,2015.0,7.0,1.0,33.224
2015-06-01,2015.0,6.0,1.0,33.228
2015-05-01,2015.0,5.0,1.0,33.228
2015-04-01,2015.0,4.0,1.0,33.24
2015-03-01,2015.0,3.0,1.0,33.27
2015-02-01,2015.0,2.0,1.0,33.278
2015-01-01,2015.0,1.0,1.0,33.278
