Date.26,year,month,day,housing starts
2021-04-01,2021.0,4.0,1.0,"53,904.55"
2021-03-01,2021.0,3.0,1.0,"36,162.54"
2021-02-01,2021.0,2.0,1.0,"17,036.94"
2021-01-01,2021.0,1.0,1.0,
2020-12-01,2020.0,12.0,1.0,"224,433.13"
2020-11-01,2020.0,11.0,1.0,"201,084.67"
2020-10-01,2020.0,10.0,1.0,"180,718.42"
2020-09-01,2020.0,9.0,1.0,"160,090.00"
2020-08-01,2020.0,8.0,1.0,"139,916.96"
2020-07-01,2020.0,7.0,1.0,"120,031.54"
2020-06-01,2020.0,6.0,1.0,"97,536.43"
2020-05-01,2020.0,5.0,1.0,"69,532.81"
2020-04-01,2020.0,4.0,1.0,"47,767.62"
2020-03-01,2020.0,3.0,1.0,"28,202.99"
2020-02-01,2020.0,2.0,1.0,"10,369.62"
2020-01-01,2020.0,1.0,1.0,
2019-12-01,2019.0,12.0,1.0,"227,153.58"
2019-11-01,2019.0,11.0,1.0,"205,194.43"
2019-10-01,2019.0,10.0,1.0,"185,634.42"
2019-09-01,2019.0,9.0,1.0,"165,706.71"
2019-08-01,2019.0,8.0,1.0,"145,133.07"
2019-07-01,2019.0,7.0,1.0,"125,715.88"
2019-06-01,2019.0,6.0,1.0,"105,508.60"
2019-05-01,2019.0,5.0,1.0,"79,783.53"
2019-04-01,2019.0,4.0,1.0,"58,552.34"
2019-03-01,2019.0,3.0,1.0,"38,728.43"
2019-02-01,2019.0,2.0,1.0,"18,813.78"
2019-01-01,2019.0,1.0,1.0,
2018-12-01,2018.0,12.0,1.0,"209,341.79"
2018-11-01,2018.0,11.0,1.0,"188,894.53"
2018-10-01,2018.0,10.0,1.0,"168,754.05"
2018-09-01,2018.0,9.0,1.0,"152,582.72"
2018-08-01,2018.0,8.0,1.0,"133,293.15"
2018-07-01,2018.0,7.0,1.0,"114,780.62"
2018-06-01,2018.0,6.0,1.0,"95,816.60"
2018-05-01,2018.0,5.0,1.0,"72,190.34"
2018-04-01,2018.0,4.0,1.0,"51,779.03"
2018-03-01,2018.0,3.0,1.0,"34,614.96"
2018-02-01,2018.0,2.0,1.0,"17,746.29"
2018-01-01,2018.0,1.0,1.0,
2017-12-01,2017.0,12.0,1.0,"178,653.77"
2017-11-01,2017.0,11.0,1.0,"161,678.65"
2017-10-01,2017.0,10.0,1.0,"145,127.07"
2017-09-01,2017.0,9.0,1.0,"131,032.74"
2017-08-01,2017.0,8.0,1.0,"114,996.20"
2017-07-01,2017.0,7.0,1.0,"100,370.80"
2017-06-01,2017.0,6.0,1.0,"85,719.61"
2017-05-01,2017.0,5.0,1.0,"65,178.73"
2017-04-01,2017.0,4.0,1.0,"48,239.92"
2017-03-01,2017.0,3.0,1.0,"31,559.70"
2017-02-01,2017.0,2.0,1.0,"17,238.39"
2017-01-01,2017.0,1.0,1.0,
2016-12-01,2016.0,12.0,1.0,"166,928.00"
2016-11-01,2016.0,11.0,1.0,"151,303.48"
2016-10-01,2016.0,10.0,1.0,"137,375.40"
2016-09-01,2016.0,9.0,1.0,"122,655.32"
2016-08-01,2016.0,8.0,1.0,"106,833.59"
2016-07-01,2016.0,7.0,1.0,"92,944.18"
2016-06-01,2016.0,6.0,1.0,"77,536.93"
2016-05-01,2016.0,5.0,1.0,"59,521.61"
2016-04-01,2016.0,4.0,1.0,"43,425.43"
2016-03-01,2016.0,3.0,1.0,"28,281.42"
2016-02-01,2016.0,2.0,1.0,"15,620.21"
2016-01-01,2016.0,1.0,1.0,
