Date.3,year,month,day,"Fe 62%, CFR country1"
2021-04-01,2021,4,1,368.2
2021-03-31,2021,3,31,363.3
2021-03-30,2021,3,30,366.16
2021-03-29,2021,3,29,368.76
2021-03-26,2021,3,26,355.6
2021-03-25,2021,3,25,352.7
2021-03-24,2021,3,24,355.78
2021-03-23,2021,3,23,356.6
2021-03-22,2021,3,22,347.02
2021-03-19,2021,3,19,355.78
2021-03-18,2021,3,18,366.24
2021-03-17,2021,3,17,365.38
2021-03-16,2021,3,16,365.64
2021-03-15,2021,3,15,359.66
2021-03-12,2021,3,12,363.88
2021-03-11,2021,3,11,374.4
2021-03-10,2021,3,10,362.34
2021-03-09,2021,3,9,361.82
2021-03-08,2021,3,8,381.68
2021-03-05,2021,3,5,381.22
2021-03-04,2021,3,4,388.96
2021-03-03,2021,3,3,385.8
2021-03-02,2021,3,2,384.1
2021-03-01,2021,3,1,382.1
2021-02-26,2021,2,26,384.56
2021-02-25,2021,2,25,381.48
2021-02-24,2021,2,24,378.42
2021-02-23,2021,2,23,379.1
2021-02-22,2021,2,22,384.92
2021-02-19,2021,2,19,380.1
2021-02-18,2021,2,18,383.1
2021-02-17,2021,2,17,366.76
2021-02-16,2021,2,16,366.76
2021-02-15,2021,2,15,366.76
2021-02-11,2021,2,11,366.76
2021-02-10,2021,2,10,366.8
2021-02-09,2021,2,9,361.2
2021-02-08,2021,2,8,354.0
2021-02-05,2021,2,5,347.02
2021-02-04,2021,2,4,349.06
2021-02-03,2021,2,3,338.3
2021-02-02,2021,2,2,332.6
2021-02-01,2021,2,1,347.14
2021-01-29,2021,1,29,350.08
2021-01-28,2021,1,28,347.84
2021-01-27,2021,1,27,366.18
2021-01-26,2021,1,26,363.14
2021-01-25,2021,1,25,371.32
2021-01-22,2021,1,22,372.94
2021-01-21,2021,1,21,376.02
2021-01-20,2021,1,20,374.1
2021-01-19,2021,1,19,375.66
2021-01-18,2021,1,18,381.14
2021-01-15,2021,1,15,380.38
2021-01-14,2021,1,14,377.72
2021-01-13,2021,1,13,373.22
2021-01-12,2021,1,12,378.34
2021-01-11,2021,1,11,377.26
2021-01-08,2021,1,8,379.12
2021-01-07,2021,1,7,376.38
2021-01-06,2021,1,6,370.44
