Date.31,year,month,day,country5 Manufacturing PMI
2021-04-01,2021.0,4.0,1.0,140.2
2021-03-01,2021.0,3.0,1.0,138.4
2021-02-01,2021.0,2.0,1.0,135.8
2021-01-01,2021.0,1.0,1.0,132.6
2020-12-01,2020.0,12.0,1.0,133.0
2020-11-01,2020.0,11.0,1.0,131.0
2020-10-01,2020.0,10.0,1.0,130.4
2020-09-01,2020.0,9.0,1.0,128.4
2020-08-01,2020.0,8.0,1.0,127.6
2020-07-01,2020.0,7.0,1.0,123.4
2020-06-01,2020.0,6.0,1.0,113.2
2020-05-01,2020.0,5.0,1.0,109.8
2020-04-01,2020.0,4.0,1.0,116.8
2020-03-01,2020.0,3.0,1.0,122.6
2020-02-01,2020.0,2.0,1.0,128.6
2020-01-01,2020.0,1.0,1.0,130.6
2019-12-01,2019.0,12.0,1.0,129.8
2019-11-01,2019.0,11.0,1.0,130.8
2019-10-01,2019.0,10.0,1.0,129.8
2019-09-01,2019.0,9.0,1.0,130.8
2019-08-01,2019.0,8.0,1.0,131.6
2019-07-01,2019.0,7.0,1.0,131.8
2019-06-01,2019.0,6.0,1.0,131.6
2019-05-01,2019.0,5.0,1.0,132.6
2019-04-01,2019.0,4.0,1.0,133.4
2019-03-01,2019.0,3.0,1.0,131.4
2019-02-01,2019.0,2.0,1.0,130.8
2019-01-01,2019.0,1.0,1.0,133.6
2018-12-01,2018.0,12.0,1.0,138.2
2018-11-01,2018.0,11.0,1.0,137.4
2018-10-01,2018.0,10.0,1.0,138.8
2018-09-01,2018.0,9.0,1.0,138.0
2018-08-01,2018.0,8.0,1.0,138.0
2018-07-01,2018.0,7.0,1.0,137.6
2018-06-01,2018.0,6.0,1.0,139.0
2018-05-01,2018.0,5.0,1.0,138.6
2018-04-01,2018.0,4.0,1.0,140.6
2018-03-01,2018.0,3.0,1.0,139.2
2018-02-01,2018.0,2.0,1.0,141.2
2018-01-01,2018.0,1.0,1.0,142.6
2017-12-01,2017.0,12.0,1.0,141.0
2017-11-01,2017.0,11.0,1.0,140.2
2017-10-01,2017.0,10.0,1.0,138.6
2017-09-01,2017.0,9.0,1.0,138.8
2017-08-01,2017.0,8.0,1.0,138.6
2017-07-01,2017.0,7.0,1.0,137.2
2017-06-01,2017.0,6.0,1.0,137.8
2017-05-01,2017.0,5.0,1.0,139.2
2017-04-01,2017.0,4.0,1.0,138.4
2017-03-01,2017.0,3.0,1.0,137.8
2017-02-01,2017.0,2.0,1.0,139.6
2017-01-01,2017.0,1.0,1.0,138.4
