Date.32,year,month,day,country2 Business Confidence
2021-04-01,2021.0,4.0,1.0,35.8
2021-01-01,2021.0,1.0,1.0,67.8
2020-10-01,2020.0,10.0,1.0,54.2
2020-07-01,2020.0,7.0,1.0,22.4
2020-04-01,2020.0,4.0,1.0,
2020-01-01,2020.0,1.0,1.0,77.6
2019-10-01,2019.0,10.0,1.0,113.4
2019-07-01,2019.0,7.0,1.0,107.6
2019-04-01,2019.0,4.0,1.0,114.0
2019-01-01,2019.0,1.0,1.0,103.4
2018-10-01,2018.0,10.0,1.0,87.4
2018-07-01,2018.0,7.0,1.0,93.2
2018-04-01,2018.0,4.0,1.0,111.6
2018-01-01,2018.0,1.0,1.0,112.0
2017-10-01,2017.0,10.0,1.0,119.6
2017-07-01,2017.0,7.0,1.0,108.8
2017-04-01,2017.0,4.0,1.0,119.0
2017-01-01,2017.0,1.0,1.0,111.8
2016-10-01,2016.0,10.0,1.0,112.6
2016-07-01,2016.0,7.0,1.0,123.8
2016-04-01,2016.0,4.0,1.0,130.4
2016-01-01,2016.0,1.0,1.0,116.8
2015-10-01,2015.0,10.0,1.0,135.6
2015-07-01,2015.0,7.0,1.0,115.8
2015-04-01,2015.0,4.0,1.0,131.4
2015-01-01,2015.0,1.0,1.0,123.4
2014-10-01,2014.0,10.0,1.0,129.6
2014-07-01,2014.0,7.0,1.0,101.8
2014-04-01,2014.0,4.0,1.0,134.4
2014-01-01,2014.0,1.0,1.0,108.6
2013-10-01,2013.0,10.0,1.0,137.6
2013-07-01,2013.0,7.0,1.0,118.6
2013-04-01,2013.0,4.0,1.0,142.8
2013-01-01,2013.0,1.0,1.0,116.0
2012-10-01,2012.0,10.0,1.0,132.0
2012-07-01,2012.0,7.0,1.0,118.0
2012-04-01,2012.0,4.0,1.0,122.0
2012-01-01,2012.0,1.0,1.0,114.0
