Date.33,year,month,day,country5 Business Confidence
2021-04-01,2021.0,4.0,1.0,61.0
2021-01-01,2021.0,1.0,1.0,43.0
2020-10-01,2020.0,10.0,1.0,13.0
2020-07-01,2020.0,7.0,1.0,-21.0
2020-04-01,2020.0,4.0,1.0,-35.0
2020-01-01,2020.0,1.0,1.0,17.0
2019-10-01,2019.0,10.0,1.0,33.0
2019-07-01,2019.0,7.0,1.0,43.0
2019-04-01,2019.0,4.0,1.0,47.0
2019-01-01,2019.0,1.0,1.0,57.0
2018-10-01,2018.0,10.0,1.0,71.0
2018-07-01,2018.0,7.0,1.0,71.0
2018-04-01,2018.0,4.0,1.0,75.0
2018-01-01,2018.0,1.0,1.0,81.0
2017-10-01,2017.0,10.0,1.0,85.0
2017-07-01,2017.0,7.0,1.0,77.0
2017-04-01,2017.0,4.0,1.0,67.0
2017-01-01,2017.0,1.0,1.0,57.0
2016-10-01,2016.0,10.0,1.0,53.0
2016-07-01,2016.0,7.0,1.0,45.0
2016-04-01,2016.0,4.0,1.0,45.0
2016-01-01,2016.0,1.0,1.0,45.0
2015-10-01,2015.0,10.0,1.0,57.0
2015-07-01,2015.0,7.0,1.0,57.0
2015-04-01,2015.0,4.0,1.0,63.0
2015-01-01,2015.0,1.0,1.0,57.0
2014-10-01,2014.0,10.0,1.0,57.0
2014-07-01,2014.0,7.0,1.0,59.0
2014-04-01,2014.0,4.0,1.0,57.0
2014-01-01,2014.0,1.0,1.0,67.0
2013-10-01,2013.0,10.0,1.0,65.0
2013-07-01,2013.0,7.0,1.0,57.0
2013-04-01,2013.0,4.0,1.0,41.0
2013-01-01,2013.0,1.0,1.0,17.0
2012-10-01,2012.0,10.0,1.0,9.0
2012-07-01,2012.0,7.0,1.0,27.0
2012-04-01,2012.0,4.0,1.0,31.0
2012-01-01,2012.0,1.0,1.0,25.0
