Date.35,year,month,day,Purchasing Managers Index - Manufacturing
2021-04-01,2021.0,4.0,1.0,137.0
2021-03-01,2021.0,3.0,1.0,140.2
2021-02-01,2021.0,2.0,1.0,136.0
2021-01-01,2021.0,1.0,1.0,137.6
2020-12-01,2020.0,12.0,1.0,140.2
2020-11-01,2020.0,11.0,1.0,140.8
2020-10-01,2020.0,10.0,1.0,138.6
2020-09-01,2020.0,9.0,1.0,138.6
2020-08-01,2020.0,8.0,1.0,137.0
2020-07-01,2020.0,7.0,1.0,136.4
2020-06-01,2020.0,6.0,1.0,135.8
2020-05-01,2020.0,5.0,1.0,134.8
2020-04-01,2020.0,4.0,1.0,133.4
2020-03-01,2020.0,3.0,1.0,137.0
2020-02-01,2020.0,2.0,1.0,91.6
2020-01-01,2020.0,1.0,1.0,135.8
2019-12-01,2019.0,12.0,1.0,135.4
2019-11-01,2019.0,11.0,1.0,135.6
2019-10-01,2019.0,10.0,1.0,132.2
2019-09-01,2019.0,9.0,1.0,134.0
2019-08-01,2019.0,8.0,1.0,132.4
2019-07-01,2019.0,7.0,1.0,132.6
2019-06-01,2019.0,6.0,1.0,132.2
2019-05-01,2019.0,5.0,1.0,132.6
2019-04-01,2019.0,4.0,1.0,135.8
2019-03-01,2019.0,3.0,1.0,136.2
2019-02-01,2019.0,2.0,1.0,134.2
2019-01-01,2019.0,1.0,1.0,132.2
2018-12-01,2018.0,12.0,1.0,132.4
2018-11-01,2018.0,11.0,1.0,133.8
2018-10-01,2018.0,10.0,1.0,134.6
2018-09-01,2018.0,9.0,1.0,137.0
2018-08-01,2018.0,8.0,1.0,137.4
2018-07-01,2018.0,7.0,1.0,137.6
2018-06-01,2018.0,6.0,1.0,139.4
2018-05-01,2018.0,5.0,1.0,140.6
2018-04-01,2018.0,4.0,1.0,138.8
2018-03-01,2018.0,3.0,1.0,139.6
2018-02-01,2018.0,2.0,1.0,135.0
2018-01-01,2018.0,1.0,1.0,138.2
2017-12-01,2017.0,12.0,1.0,139.8
2017-11-01,2017.0,11.0,1.0,140.2
2017-10-01,2017.0,10.0,1.0,138.8
2017-09-01,2017.0,9.0,1.0,142.6
2017-08-01,2017.0,8.0,1.0,139.2
2017-07-01,2017.0,7.0,1.0,138.6
2017-06-01,2017.0,6.0,1.0,139.2
2017-05-01,2017.0,5.0,1.0,137.6
2017-04-01,2017.0,4.0,1.0,137.6
2017-03-01,2017.0,3.0,1.0,139.6
2017-02-01,2017.0,2.0,1.0,139.0
2017-01-01,2017.0,1.0,1.0,138.6
2016-12-01,2016.0,12.0,1.0,139.4
2016-11-01,2016.0,11.0,1.0,139.4
2016-10-01,2016.0,10.0,1.0,138.6
2016-09-01,2016.0,9.0,1.0,134.8
2016-08-01,2016.0,8.0,1.0,135.6
2016-07-01,2016.0,7.0,1.0,133.8
2016-06-01,2016.0,6.0,1.0,134.0
2016-05-01,2016.0,5.0,1.0,134.4
2016-04-01,2016.0,4.0,1.0,135.0
2016-03-01,2016.0,3.0,1.0,135.8
2016-02-01,2016.0,2.0,1.0,130.2
2016-01-01,2016.0,1.0,1.0,132.0
2015-12-01,2015.0,12.0,1.0,133.4
2015-11-01,2015.0,11.0,1.0,132.6
2015-10-01,2015.0,10.0,1.0,133.6
2015-09-01,2015.0,9.0,1.0,133.4
2015-08-01,2015.0,8.0,1.0,132.4
2015-07-01,2015.0,7.0,1.0,132.8
2015-06-01,2015.0,6.0,1.0,133.2
2015-05-01,2015.0,5.0,1.0,134.2
2015-04-01,2015.0,4.0,1.0,133.4
2015-03-01,2015.0,3.0,1.0,133.4
2015-02-01,2015.0,2.0,1.0,133.8
2015-01-01,2015.0,1.0,1.0,133.4
2014-12-01,2014.0,12.0,1.0,133.8
2014-11-01,2014.0,11.0,1.0,134.8
2014-10-01,2014.0,10.0,1.0,136.2
2014-09-01,2014.0,9.0,1.0,137.4
2014-08-01,2014.0,8.0,1.0,138.0
2014-07-01,2014.0,7.0,1.0,140.2
2014-06-01,2014.0,6.0,1.0,138.6
2014-05-01,2014.0,5.0,1.0,137.6
2014-04-01,2014.0,4.0,1.0,135.4
2014-03-01,2014.0,3.0,1.0,134.2
2014-02-01,2014.0,2.0,1.0,134.0
2014-01-01,2014.0,1.0,1.0,134.8
2013-12-01,2013.0,12.0,1.0,137.0
2013-11-01,2013.0,11.0,1.0,137.6
2013-10-01,2013.0,10.0,1.0,138.0
2013-09-01,2013.0,9.0,1.0,138.6
2013-08-01,2013.0,8.0,1.0,137.8
2013-07-01,2013.0,7.0,1.0,134.2
2013-06-01,2013.0,6.0,1.0,133.8
2013-05-01,2013.0,5.0,1.0,136.6
2013-04-01,2013.0,4.0,1.0,136.4
2013-03-01,2013.0,3.0,1.0,137.6
2013-02-01,2013.0,2.0,1.0,133.2
2013-01-01,2013.0,1.0,1.0,136.2
2012-12-01,2012.0,12.0,1.0,135.4
2012-11-01,2012.0,11.0,1.0,135.4
2012-10-01,2012.0,10.0,1.0,133.8
