Date.36,year,month,day,Purchase Price Index
2021-04-01,2021.0,4.0,1.0,273.4
2021-03-01,2021.0,3.0,1.0,264.2
2021-02-01,2021.0,2.0,1.0,256.2
2021-01-01,2021.0,1.0,1.0,250.4
2020-12-01,2020.0,12.0,1.0,245.2
2020-11-01,2020.0,11.0,1.0,240.0
2020-10-01,2020.0,10.0,1.0,237.4
2020-09-01,2020.0,9.0,1.0,236.6
2020-08-01,2020.0,8.0,1.0,232.0
2020-07-01,2020.0,7.0,1.0,227.4
2020-06-01,2020.0,6.0,1.0,228.6
2020-05-01,2020.0,5.0,1.0,227.6
2020-04-01,2020.0,4.0,1.0,229.6
2020-03-01,2020.0,3.0,1.0,232.6
2020-02-01,2020.0,2.0,1.0,233.8
2020-01-01,2020.0,1.0,1.0,236.2
2019-12-01,2019.0,12.0,1.0,234.8
2019-11-01,2019.0,11.0,1.0,232.0
2019-10-01,2019.0,10.0,1.0,234.6
2019-09-01,2019.0,9.0,1.0,236.6
2019-08-01,2019.0,8.0,1.0,240.6
2019-07-01,2019.0,7.0,1.0,244.4
2019-06-01,2019.0,6.0,1.0,241.6
2019-05-01,2019.0,5.0,1.0,240.8
2019-04-01,2019.0,4.0,1.0,239.2
2019-03-01,2019.0,3.0,1.0,236.2
2019-02-01,2019.0,2.0,1.0,236.2
2019-01-01,2019.0,1.0,1.0,235.0
2018-12-01,2018.0,12.0,1.0,237.8
2018-11-01,2018.0,11.0,1.0,244.0
2018-10-01,2018.0,10.0,1.0,244.2
2018-09-01,2018.0,9.0,1.0,243.2
2018-08-01,2018.0,8.0,1.0,245.4
2018-07-01,2018.0,7.0,1.0,248.4
2018-06-01,2018.0,6.0,1.0,249.2
2018-05-01,2018.0,5.0,1.0,246.2
2018-04-01,2018.0,4.0,1.0,243.8
2018-03-01,2018.0,3.0,1.0,243.6
2018-02-01,2018.0,2.0,1.0,247.0
2018-01-01,2018.0,1.0,1.0,251.0
2017-12-01,2017.0,12.0,1.0,254.2
2017-11-01,2017.0,11.0,1.0,259.2
2017-10-01,2017.0,10.0,1.0,264.8
2017-09-01,2017.0,9.0,1.0,266.2
2017-08-01,2017.0,8.0,1.0,263.8
2017-07-01,2017.0,7.0,1.0,261.2
2017-06-01,2017.0,6.0,1.0,260.4
2017-05-01,2017.0,5.0,1.0,261.0
2017-04-01,2017.0,4.0,1.0,267.6
2017-03-01,2017.0,3.0,1.0,276.6
2017-02-01,2017.0,2.0,1.0,275.8
2017-01-01,2017.0,1.0,1.0,270.8
2016-12-01,2016.0,12.0,1.0,263.2
2016-11-01,2016.0,11.0,1.0,250.4
2016-10-01,2016.0,10.0,1.0,240.8
2016-09-01,2016.0,9.0,1.0,236.6
2016-08-01,2016.0,8.0,1.0,233.0
2016-07-01,2016.0,7.0,1.0,228.6
2016-06-01,2016.0,6.0,1.0,224.8
2016-05-01,2016.0,5.0,1.0,224.8
2016-04-01,2016.0,4.0,1.0,220.2
2016-03-01,2016.0,3.0,1.0,212.6
2016-02-01,2016.0,2.0,1.0,207.2
2016-01-01,2016.0,1.0,1.0,205.8
2015-12-01,2015.0,12.0,1.0,205.8
2015-11-01,2015.0,11.0,1.0,207.4
2015-10-01,2015.0,10.0,1.0,208.2
2015-09-01,2015.0,9.0,1.0,208.2
2015-08-01,2015.0,8.0,1.0,208.2
2015-07-01,2015.0,7.0,1.0,208.8
2015-06-01,2015.0,6.0,1.0,210.6
2015-05-01,2015.0,5.0,1.0,210.2
2015-04-01,2015.0,4.0,1.0,210.0
2015-03-01,2015.0,3.0,1.0,212.0
2015-02-01,2015.0,2.0,1.0,212.8
2015-01-01,2015.0,1.0,1.0,213.8
2014-12-01,2014.0,12.0,1.0,215.6
2014-11-01,2014.0,11.0,1.0,217.6
2014-10-01,2014.0,10.0,1.0,219.2
2014-09-01,2014.0,9.0,1.0,220.8
2014-08-01,2014.0,8.0,1.0,223.0
2014-07-01,2014.0,7.0,1.0,224.8
2014-06-01,2014.0,6.0,1.0,224.8
2014-05-01,2014.0,5.0,1.0,223.6
2014-04-01,2014.0,4.0,1.0,222.8
2014-03-01,2014.0,3.0,1.0,222.6
2014-02-01,2014.0,2.0,1.0,224.6
2014-01-01,2014.0,1.0,1.0,227.2
2013-12-01,2013.0,12.0,1.0,229.6
2013-11-01,2013.0,11.0,1.0,229.6
2013-10-01,2013.0,10.0,1.0,230.0
2013-09-01,2013.0,9.0,1.0,230.2
2013-08-01,2013.0,8.0,1.0,225.6
2013-07-01,2013.0,7.0,1.0,221.2
2013-06-01,2013.0,6.0,1.0,220.4
2013-05-01,2013.0,5.0,1.0,221.2
2013-04-01,2013.0,4.0,1.0,222.0
2013-03-01,2013.0,3.0,1.0,223.0
2013-02-01,2013.0,2.0,1.0,222.4
2013-01-01,2013.0,1.0,1.0,220.0
2012-12-01,2012.0,12.0,1.0,216.2
2012-11-01,2012.0,11.0,1.0,214.0
2012-10-01,2012.0,10.0,1.0,210.2
2012-09-01,2012.0,9.0,1.0,209.0
2012-08-01,2012.0,8.0,1.0,213.4
2012-07-01,2012.0,7.0,1.0,217.6
2012-06-01,2012.0,6.0,1.0,219.6
2012-05-01,2012.0,5.0,1.0,221.8
2012-04-01,2012.0,4.0,1.0,223.6
2012-03-01,2012.0,3.0,1.0,224.6
2012-02-01,2012.0,2.0,1.0,226.2
2012-01-01,2012.0,1.0,1.0,230.8
2011-12-01,2011.0,12.0,1.0,235.8
2011-11-01,2011.0,11.0,1.0,240.4
2011-10-01,2011.0,10.0,1.0,247.4
2011-09-01,2011.0,9.0,1.0,250.6
2011-08-01,2011.0,8.0,1.0,252.8
2011-07-01,2011.0,7.0,1.0,253.4
2011-06-01,2011.0,6.0,1.0,250.8
2011-05-01,2011.0,5.0,1.0,251.8
2011-04-01,2011.0,4.0,1.0,254.8
2011-03-01,2011.0,3.0,1.0,261.4
2011-02-01,2011.0,2.0,1.0,264.6
2011-01-01,2011.0,1.0,1.0,262.0
2010-12-01,2010.0,12.0,1.0,255.4
2010-11-01,2010.0,11.0,1.0,254.4
2010-10-01,2010.0,10.0,1.0,251.0
2010-09-01,2010.0,9.0,1.0,247.8
2010-08-01,2010.0,8.0,1.0,246.0
2010-07-01,2010.0,7.0,1.0,249.8
2010-06-01,2010.0,6.0,1.0,253.4
2010-05-01,2010.0,5.0,1.0,254.8
2010-04-01,2010.0,4.0,1.0,249.6
2010-03-01,2010.0,3.0,1.0,235.8
2010-02-01,2010.0,2.0,1.0,228.4
2010-01-01,2010.0,1.0,1.0,227.4
