Date.4,year,month,day,"futures, 3"
2021-04-02,2021.0,4.0,2.0,10143.0
2021-04-01,2021.0,4.0,1.0,9909.0
2021-03-31,2021.0,3.0,31.0,9751.0
2021-03-30,2021.0,3.0,30.0,9853.0
2021-03-29,2021.0,3.0,29.0,9845.0
2021-03-26,2021.0,3.0,26.0,9793.0
2021-03-25,2021.0,3.0,25.0,9501.0
2021-03-24,2021.0,3.0,24.0,9521.0
2021-03-23,2021.0,3.0,23.0,9361.0
2021-03-22,2021.0,3.0,22.0,9489.0
2021-03-19,2021.0,3.0,19.0,9417.0
2021-03-18,2021.0,3.0,18.0,9459.0
2021-03-17,2021.0,3.0,17.0,9497.0
2021-03-16,2021.0,3.0,16.0,9341.0
2021-03-15,2021.0,3.0,15.0,9607.0
2021-03-12,2021.0,3.0,12.0,9491.0
2021-03-11,2021.0,3.0,11.0,9407.0
2021-03-10,2021.0,3.0,10.0,9211.0
2021-03-09,2021.0,3.0,9.0,9217.0
2021-03-08,2021.0,3.0,8.0,9537.0
2021-03-05,2021.0,3.0,5.0,9425.0
2021-03-04,2021.0,3.0,4.0,9731.0
2021-03-03,2021.0,3.0,3.0,9717.0
2021-03-02,2021.0,3.0,2.0,9497.0
2021-03-01,2021.0,3.0,1.0,9311.0
2021-02-26,2021.0,2.0,26.0,9387.0
2021-02-25,2021.0,2.0,25.0,9405.0
2021-02-24,2021.0,2.0,24.0,9269.0
2021-02-23,2021.0,2.0,23.0,9137.0
2021-02-22,2021.0,2.0,22.0,9197.0
2021-02-19,2021.0,2.0,19.0,9081.0
2021-02-18,2021.0,2.0,18.0,9039.0
2021-02-17,2021.0,2.0,17.0,8809.0
2021-02-16,2021.0,2.0,16.0,8809.0
2021-02-15,2021.0,2.0,15.0,8809.0
2021-02-12,2021.0,2.0,12.0,8809.0
2021-02-11,2021.0,2.0,11.0,8809.0
2021-02-10,2021.0,2.0,10.0,8809.0
2021-02-09,2021.0,2.0,9.0,8809.0
2021-02-08,2021.0,2.0,8.0,8653.0
2021-02-05,2021.0,2.0,5.0,8585.0
2021-02-04,2021.0,2.0,4.0,8481.0
2021-02-03,2021.0,2.0,3.0,8353.0
2021-02-02,2021.0,2.0,2.0,8323.0
2021-02-01,2021.0,2.0,1.0,8431.0
2021-01-29,2021.0,1.0,29.0,8549.0
2021-01-28,2021.0,1.0,28.0,8567.0
2021-01-27,2021.0,1.0,27.0,8757.0
2021-01-26,2021.0,1.0,26.0,8605.0
2021-01-25,2021.0,1.0,25.0,8637.0
2021-01-22,2021.0,1.0,22.0,8583.0
2021-01-21,2021.0,1.0,21.0,8703.0
2021-01-20,2021.0,1.0,20.0,8595.0
2021-01-19,2021.0,1.0,19.0,8545.0
2021-01-18,2021.0,1.0,18.0,8741.0
2021-01-15,2021.0,1.0,15.0,8557.0
2021-01-14,2021.0,1.0,14.0,8429.0
2021-01-13,2021.0,1.0,13.0,8451.0
2021-01-12,2021.0,1.0,12.0,8469.0
2021-01-11,2021.0,1.0,11.0,8473.0
2021-01-08,2021.0,1.0,8.0,8753.0
2021-01-07,2021.0,1.0,7.0,8715.0
2021-01-06,2021.0,1.0,6.0,8589.0
2021-01-05,2021.0,1.0,5.0,8623.0
2021-01-04,2021.0,1.0,4.0,8603.0
2021-01-01,2021.0,1.0,1.0,8623.0
2020-12-31,2020.0,12.0,31.0,8623.0
2020-12-30,2020.0,12.0,30.0,8405.0
2020-12-29,2020.0,12.0,29.0,8349.0
2020-12-28,2020.0,12.0,28.0,8377.0
2020-12-25,2020.0,12.0,25.0,8553.0
2020-12-24,2020.0,12.0,24.0,8477.0
2020-12-23,2020.0,12.0,23.0,8469.0
2020-12-22,2020.0,12.0,22.0,8667.0
2020-12-21,2020.0,12.0,21.0,8859.0
2020-12-18,2020.0,12.0,18.0,8553.0
2020-12-17,2020.0,12.0,17.0,8321.0
2020-12-16,2020.0,12.0,16.0,8261.0
2020-12-15,2020.0,12.0,15.0,8135.0
2020-12-14,2020.0,12.0,14.0,7961.0
2020-12-11,2020.0,12.0,11.0,8007.0
2020-12-10,2020.0,12.0,10.0,8055.0
2020-12-09,2020.0,12.0,9.0,7903.0
2020-12-08,2020.0,12.0,8.0,7783.0
2020-12-07,2020.0,12.0,7.0,7793.0
2020-12-04,2020.0,12.0,4.0,7663.0
2020-12-03,2020.0,12.0,3.0,7613.0
2020-12-02,2020.0,12.0,2.0,7687.0
2020-12-01,2020.0,12.0,1.0,7591.0
2020-11-30,2020.0,11.0,30.0,7595.0
2020-11-27,2020.0,11.0,27.0,7625.0
2020-11-26,2020.0,11.0,26.0,7535.0
2020-11-25,2020.0,11.0,25.0,7503.0
2020-11-24,2020.0,11.0,24.0,7507.0
2020-11-23,2020.0,11.0,23.0,7517.0
2020-11-20,2020.0,11.0,20.0,7687.0
2020-11-19,2020.0,11.0,19.0,7617.0
2020-11-18,2020.0,11.0,18.0,7579.0
2020-11-17,2020.0,11.0,17.0,7609.0
2020-11-16,2020.0,11.0,16.0,7737.0
2020-11-13,2020.0,11.0,13.0,7713.0
