Date.7,year,month,day,"futures 1, weekly"
2021-03-29,2021.0,3.0,29.0,9745.0
2021-03-22,2021.0,3.0,22.0,9477.0
2021-03-15,2021.0,3.0,15.0,9373.0
2021-03-08,2021.0,3.0,8.0,9145.0
2021-03-01,2021.0,3.0,1.0,9317.0
2021-02-22,2021.0,2.0,22.0,9159.0
2021-02-15,2021.0,2.0,15.0,8845.0
2021-02-01,2021.0,2.0,1.0,8257.0
2021-01-25,2021.0,1.0,25.0,8417.0
2021-01-18,2021.0,1.0,18.0,8437.0
2021-01-11,2021.0,1.0,11.0,8411.0
2021-01-04,2021.0,1.0,4.0,8525.0
2020-12-28,2020.0,12.0,28.0,8409.0
2020-12-21,2020.0,12.0,21.0,8755.0
2020-12-14,2020.0,12.0,14.0,8701.0
2020-12-07,2020.0,12.0,7.0,8663.0
2020-11-30,2020.0,11.0,30.0,8549.0
2020-11-23,2020.0,11.0,23.0,8137.0
2020-11-16,2020.0,11.0,16.0,8187.0
2020-11-09,2020.0,11.0,9.0,7789.0
2020-11-02,2020.0,11.0,2.0,7569.0
2020-10-26,2020.0,10.0,26.0,7411.0
2020-10-19,2020.0,10.0,19.0,7333.0
2020-10-12,2020.0,10.0,12.0,7295.0
2020-10-05,2020.0,10.0,5.0,7309.0
2020-09-28,2020.0,9.0,28.0,7269.0
2020-09-21,2020.0,9.0,21.0,7267.0
2020-09-14,2020.0,9.0,14.0,7405.0
2020-09-07,2020.0,9.0,7.0,7539.0
2020-08-31,2020.0,8.0,31.0,7577.0
2020-08-24,2020.0,8.0,24.0,7509.0
2020-08-17,2020.0,8.0,17.0,7521.0
2020-08-10,2020.0,8.0,10.0,7507.0
2020-08-03,2020.0,8.0,3.0,7571.0
2020-07-27,2020.0,7.0,27.0,7589.0
2020-07-20,2020.0,7.0,20.0,7541.0
2020-07-13,2020.0,7.0,13.0,7365.0
2020-07-06,2020.0,7.0,6.0,7323.0
2020-06-29,2020.0,6.0,29.0,7343.0
2020-06-15,2020.0,6.0,15.0,7363.0
2020-06-08,2020.0,6.0,8.0,7233.0
2020-06-01,2020.0,6.0,1.0,7115.0
2020-05-25,2020.0,5.0,25.0,7047.0
2020-05-18,2020.0,5.0,18.0,7169.0
2020-05-11,2020.0,5.0,11.0,6857.0
2020-05-04,2020.0,5.0,4.0,7155.0
2020-04-27,2020.0,4.0,27.0,7041.0
2020-04-20,2020.0,4.0,20.0,7071.0
2020-04-13,2020.0,4.0,13.0,7001.0
2020-04-06,2020.0,4.0,6.0,6745.0
2020-03-30,2020.0,3.0,30.0,6697.0
2020-03-23,2020.0,3.0,23.0,6871.0
2020-03-16,2020.0,3.0,16.0,6981.0
2020-03-09,2020.0,3.0,9.0,6951.0
2020-03-02,2020.0,3.0,2.0,6947.0
2020-02-24,2020.0,2.0,24.0,6919.0
2020-02-17,2020.0,2.0,17.0,6815.0
2020-02-10,2020.0,2.0,10.0,6793.0
2020-02-03,2020.0,2.0,3.0,6755.0
2020-01-20,2020.0,1.0,20.0,7381.0
2020-01-13,2020.0,1.0,13.0,7577.0
2020-01-06,2020.0,1.0,6.0,7595.0
2019-12-30,2019.0,12.0,30.0,7565.0
2019-12-23,2019.0,12.0,23.0,7493.0
2019-12-16,2019.0,12.0,16.0,7435.0
2019-12-09,2019.0,12.0,9.0,8225.0
2019-12-02,2019.0,12.0,2.0,7567.0
2019-11-25,2019.0,11.0,25.0,7889.0
2019-11-18,2019.0,11.0,18.0,7573.0
2019-11-11,2019.0,11.0,11.0,7417.0
2019-11-04,2019.0,11.0,4.0,7277.0
2019-10-28,2019.0,10.0,28.0,6993.0
2019-10-21,2019.0,10.0,21.0,6983.0
2019-10-14,2019.0,10.0,14.0,7097.0
2019-10-07,2019.0,10.0,7.0,7267.0
2019-09-30,2019.0,9.0,30.0,7339.0
2019-09-23,2019.0,9.0,23.0,7509.0
2019-09-16,2019.0,9.0,16.0,7595.0
2019-09-09,2019.0,9.0,9.0,7593.0
2019-09-02,2019.0,9.0,2.0,7491.0
2019-08-26,2019.0,8.0,26.0,7315.0
2019-08-19,2019.0,8.0,19.0,7563.0
