Date.8,year,month,day,"BF Cap Ut, %",Year,Week,Mt
2021-04-02,2021.0,4.0,2.0,206.84,4075.0,61.0,62.3684
2021-03-26,2021.0,3.0,26.0,209.6,4075.0,59.0,64.1582
2021-03-19,2021.0,3.0,19.0,207.32,4075.0,57.0,65.5694
2021-03-12,2021.0,3.0,12.0,213.78,4075.0,55.0,66.9324
2021-03-05,2021.0,3.0,5.0,217.1,4075.0,53.0,67.89320000000001
2021-02-26,2021.0,2.0,26.0,217.56,4075.0,51.0,66.46260000000001
2021-02-19,2021.0,2.0,19.0,217.38,4075.0,49.0,63.7294
2021-02-05,2021.0,2.0,5.0,214.88,4075.0,47.0,58.835
2021-01-29,2021.0,1.0,29.0,214.06,4075.0,45.0,52.7896
2021-01-22,2021.0,1.0,22.0,215.24,4075.0,43.0,50.4812
2021-01-15,2021.0,1.0,15.0,215.48,4075.0,41.0,47.7714
2021-01-08,2021.0,1.0,8.0,216.54,4075.0,39.0,45.828
2021-01-01,2021.0,1.0,1.0,217.16,4075.0,37.0,44.7718
2020-12-25,2020.0,12.0,25.0,216.74,4075.0,35.0,43.9908
2020-12-18,2020.0,12.0,18.0,216.36,4073.0,139.0,43.2064
2020-12-11,2020.0,12.0,11.0,215.94,4073.0,137.0,43.4588
2020-12-04,2020.0,12.0,4.0,217.8,4073.0,135.0,43.858
2020-11-27,2020.0,11.0,27.0,217.94,4073.0,133.0,44.602
2020-11-20,2020.0,11.0,20.0,216.28,4073.0,131.0,45.7872
2020-11-13,2020.0,11.0,13.0,217.22,4073.0,129.0,46.53554
2020-11-06,2020.0,11.0,6.0,217.54,4073.0,127.0,47.5876
2020-10-30,2020.0,10.0,30.0,217.94,4073.0,125.0,49.1034
2020-10-23,2020.0,10.0,23.0,217.68,4073.0,123.0,51.06019999999999
2020-10-16,2020.0,10.0,16.0,218.8,4073.0,121.0,52.72134
2020-10-09,2020.0,10.0,9.0,219.4,4073.0,119.0,54.13160000000001
2020-09-30,2020.0,9.0,30.0,219.08,4073.0,117.0,55.057
2020-09-25,2020.0,9.0,25.0,220.38,4073.0,115.0,55.7302
2020-09-18,2020.0,9.0,18.0,221.5,4073.0,113.0,
2020-09-11,2020.0,9.0,11.0,221.62,4073.0,111.0,55.988
2020-09-04,2020.0,9.0,4.0,222.04,4073.0,109.0,56.333
2020-08-28,2020.0,8.0,28.0,222.28,4073.0,107.0,56.527
2020-08-21,2020.0,8.0,21.0,222.6,4073.0,105.0,56.8638
2020-08-14,2020.0,8.0,14.0,223.4,4073.0,103.0,56.6252
2020-08-07,2020.0,8.0,7.0,222.5,4073.0,101.0,56.4654
2020-07-31,2020.0,7.0,31.0,222.0,4073.0,99.0,56.4344
2020-07-24,2020.0,7.0,24.0,219.16,4073.0,97.0,56.5868
2020-07-17,2020.0,7.0,17.0,218.92,4073.0,95.0,56.85642
2020-07-10,2020.0,7.0,10.0,219.16,4073.0,93.0,56.5276
2020-07-03,2020.0,7.0,3.0,219.7,4073.0,91.0,56.1092
2020-06-28,2020.0,6.0,28.0,219.84,4073.0,89.0,55.61060000000001
