Date.9,year,month,day,"Marketplaces, Mt","Producers, Mt","rebar, RMB/t"
2021-04-02,2021.0,4.0,2.0,32733.0,9196.0,9881.0
2021-03-26,2021.0,3.0,26.0,34373.0,9970.0,9657.0
2021-03-19,2021.0,3.0,19.0,35973.0,10333.2,9495.0
2021-03-12,2021.0,3.0,12.0,36953.0,10625.4,9509.0
2021-03-05,2021.0,3.0,5.0,37033.0,10469.6,9473.0
2021-02-26,2021.0,2.0,26.0,34753.0,10329.8,9409.0
2021-02-19,2021.0,2.0,19.0,29213.0,10271.2,9141.0
2021-02-05,2021.0,2.0,5.0,21273.0,6791.0,8747.0
2021-01-29,2021.0,1.0,29.0,17093.0,6147.6,8741.0
2021-01-22,2021.0,1.0,22.0,14133.0,5807.6,8721.0
2021-01-15,2021.0,1.0,15.0,12573.0,5553.2,8747.0
2021-01-08,2021.0,1.0,8.0,11753.0,5227.4,8877.0
2020-12-31,2020.0,12.0,31.0,10953.0,5200.6,8751.0
2020-12-24,2020.0,12.0,24.0,10933.0,4516.0,9001.0
2020-12-17,2020.0,12.0,17.0,11253.0,4823.2,8319.0
2020-12-10,2020.0,12.0,10.0,11953.0,4926.4,8149.0
2020-12-03,2020.0,12.0,3.0,12773.0,5022.8,8185.0
2020-11-26,2020.0,11.0,26.0,13433.0,4701.8,8275.0
2020-11-19,2020.0,11.0,19.0,14453.0,4694.6,8311.0
2020-11-10,2020.0,11.0,10.0,17733.0,5627.4,8173.0
2020-11-03,2020.0,11.0,3.0,19293.0,6168.6,7805.0
2020-10-27,2020.0,10.0,27.0,20893.0,6591.6,7669.0
2020-10-20,2020.0,10.0,20.0,22193.0,6798.8,7663.0
2020-10-13,2020.0,10.0,13.0,23633.0,7393.2,7691.0
2020-09-29,2020.0,9.0,29.0,24353.0,7061.8,7537.0
2020-09-22,2020.0,9.0,22.0,24693.0,7138.6,7593.0
2020-09-15,2020.0,9.0,15.0,25093.0,7196.4,7691.0
2020-09-08,2020.0,9.0,8.0,25193.0,7368.8,7755.0
2020-09-01,2020.0,9.0,1.0,24833.0,7645.8,7695.0
2020-08-25,2020.0,8.0,25.0,24553.0,7381.8,7699.0
2020-08-18,2020.0,8.0,18.0,24353.0,7297.4,7719.0
2020-08-11,2020.0,8.0,11.0,24453.0,7018.4,7729.0
2020-08-04,2020.0,8.0,4.0,24713.0,7174.6,7643.0
2020-07-28,2020.0,7.0,28.0,24473.0,6885.4,7641.0
2020-07-21,2020.0,7.0,21.0,24193.0,6645.2,7621.0
2020-07-14,2020.0,7.0,14.0,23553.0,6859.2,7645.0
2020-07-07,2020.0,7.0,7.0,23073.0,6905.0,7547.0
2020-06-30,2020.0,6.0,30.0,22313.0,6448.6,7561.0
2020-06-23,2020.0,6.0,23.0,22093.0,6045.8,7637.0
2020-06-16,2020.0,6.0,16.0,22093.0,5718.0,7665.0
2020-06-09,2020.0,6.0,9.0,22593.0,5714.8,7733.0
2020-06-02,2020.0,6.0,2.0,23433.0,6136.2,7689.0
2020-05-26,2020.0,5.0,26.0,24513.0,6053.2,7591.0
2020-05-19,2020.0,5.0,19.0,26213.0,6660.2,7565.0
2020-05-12,2020.0,5.0,12.0,27653.0,7391.4,7399.0
2020-05-05,2020.0,5.0,5.0,28833.0,7946.2,7273.0
2020-04-28,2020.0,4.0,28.0,31053.0,8697.0,7273.0
2020-04-21,2020.0,4.0,21.0,32893.0,9220.2,7297.0
2020-04-14,2020.0,4.0,14.0,35013.0,10464.0,7257.0
2020-04-07,2020.0,4.0,7.0,36813.0,11526.8,7211.0
2020-03-31,2020.0,3.0,31.0,38353.0,12376.0,7279.0
2020-03-24,2020.0,3.0,24.0,40413.0,13297.4,7327.0
2020-03-17,2020.0,3.0,17.0,28572.0,15031.8,7373.0
2020-03-09,2020.0,3.0,9.0,27589.2,15557.8,7541.0
2020-02-27,2020.0,2.0,27.0,25565.4,15241.8,7367.0
2020-02-20,2020.0,2.0,20.0,22702.2,14313.8,7387.0
2020-02-13,2020.0,2.0,13.0,19942.8,12492.8,7531.0
2020-01-23,2020.0,1.0,23.0,11967.6,5321.4,7701.0
2020-01-16,2020.0,1.0,16.0,9924.199999999999,4728.4,7703.0
2020-01-09,2020.0,1.0,9.0,8279.2,4489.4,7705.0
2020-01-02,2020.0,1.0,2.0,7156.2,4359.2,7713.0
2019-12-26,2019.0,12.0,26.0,6332.0,4225.2,7681.0
2019-12-19,2019.0,12.0,19.0,5951.400000000001,4134.6,8033.0
2019-12-12,2019.0,12.0,12.0,5826.2,4057.2,8057.0
2019-12-05,2019.0,12.0,5.0,5809.2,4058.0,8215.0
2019-11-28,2019.0,11.0,28.0,5698.0,3826.8,8425.0
2019-11-21,2019.0,11.0,21.0,5775.0,3868.6,8271.0
2019-11-14,2019.0,11.0,14.0,6349.0,4137.2,7869.0
2019-11-07,2019.0,11.0,7.0,6895.2,4361.0,6753.0
2019-10-31,2019.0,10.0,31.0,7476.6,4752.6,7737.0
2019-10-24,2019.0,10.0,24.0,8058.2,4954.0,7693.0
2019-10-17,2019.0,10.0,17.0,8672.2,4947.8,7771.0
2019-10-10,2019.0,10.0,10.0,9689.4,5075.8,7863.0
2019-10-09,2019.0,10.0,9.0,10027.8,5157.2,7863.0
2019-09-26,2019.0,9.0,26.0,9629.0,4526.8,7805.0
2019-09-19,2019.0,9.0,19.0,10585.8,4516.6,7769.0
2019-09-12,2019.0,9.0,12.0,10994.0,4512.6,7803.0
2019-09-06,2019.0,9.0,6.0,11778.2,4987.0,7715.0
2019-08-29,2019.0,8.0,29.0,12222.8,5431.0,7505.0
2019-08-22,2019.0,8.0,22.0,12665.0,5257.4,7645.0
2019-08-15,2019.0,8.0,15.0,12782.6,5280.6,7717.0
2019-08-08,2019.0,8.0,8.0,12897.2,5383.0,7903.0
2019-08-01,2019.0,8.0,1.0,12696.0,5068.6,8099.0
2019-07-25,2019.0,7.0,25.0,12372.4,4866.8,8211.0
2019-07-18,2019.0,7.0,18.0,11957.4,4774.4,8173.0
2019-07-11,2019.0,7.0,11.0,11606.2,4579.0,8233.0
2019-07-04,2019.0,7.0,4.0,11527.2,4383.0,8355.0
2019-06-27,2019.0,6.0,27.0,11359.2,4427.6,8151.0
2019-06-21,2019.0,6.0,21.0,11166.0,4618.2,7985.0
2019-06-13,2019.0,6.0,13.0,11058.2,4528.2,8155.0
2019-06-10,2019.0,6.0,10.0,10813.0,4311.0,8155.0
2019-05-30,2019.0,5.0,30.0,11082.4,4256.6,8355.0
2019-05-23,2019.0,5.0,23.0,11430.0,4121.8,8485.0
2019-05-16,2019.0,5.0,16.0,11986.8,4329.8,8365.0
2019-05-09,2019.0,5.0,9.0,12687.4,4304.8,8495.0
2019-05-06,2019.0,5.0,6.0,13041.4,4326.6,8495.0
2019-04-25,2019.0,4.0,25.0,13498.4,3999.4,8497.0
2019-04-19,2019.0,4.0,19.0,14215.0,4116.0,8523.0
2019-04-11,2019.0,4.0,11.0,15376.2,4170.2,8427.0
2019-04-04,2019.0,4.0,4.0,16397.2,4591.8,8243.0
2019-03-28,2019.0,3.0,28.0,17478.6,4964.0,8125.0
2019-03-21,2019.0,3.0,21.0,18372.0,5139.8,8229.0
2019-03-14,2019.0,3.0,14.0,19495.8,5541.0,8105.0
2019-03-07,2019.0,3.0,7.0,20257.4,6341.6,8033.0
2019-02-28,2019.0,2.0,28.0,20406.4,6844.8,8025.0
2019-02-21,2019.0,2.0,21.0,19115.2,7018.6,8033.0
2019-02-13,2019.0,2.0,13.0,16587.0,6823.4,8075.0
