Date,year,month,day,"product1, CFR market1"
2021-04-01,2021.0,4.0,1.0,1263.0
2021-03-31,2021.0,3.0,31.0,1253.0
2021-03-30,2021.0,3.0,30.0,1253.0
2021-03-29,2021.0,3.0,29.0,1238.0
2021-03-26,2021.0,3.0,26.0,1238.0
2021-03-25,2021.0,3.0,25.0,1228.0
2021-03-24,2021.0,3.0,24.0,1228.0
2021-03-23,2021.0,3.0,23.0,1233.0
2021-03-22,2021.0,3.0,22.0,1228.0
2021-03-19,2021.0,3.0,19.0,1238.0
2021-03-18,2021.0,3.0,18.0,1238.0
2021-03-17,2021.0,3.0,17.0,1248.0
2021-03-16,2021.0,3.0,16.0,1243.0
2021-03-15,2021.0,3.0,15.0,1243.0
2021-03-12,2021.0,3.0,12.0,1223.0
2021-03-11,2021.0,3.0,11.0,1223.0
2021-03-10,2021.0,3.0,10.0,1223.0
2021-03-09,2021.0,3.0,9.0,1238.0
2021-03-08,2021.0,3.0,8.0,1243.0
2021-03-05,2021.0,3.0,5.0,1243.0
2021-03-04,2021.0,3.0,4.0,1243.0
2021-03-03,2021.0,3.0,3.0,1228.0
2021-03-02,2021.0,3.0,2.0,1228.0
2021-03-01,2021.0,3.0,1.0,1218.0
2021-02-26,2021.0,2.0,26.0,1213.0
2021-02-25,2021.0,2.0,25.0,1203.0
2021-02-24,2021.0,2.0,24.0,1188.0
2021-02-23,2021.0,2.0,23.0,1183.0
2021-02-22,2021.0,2.0,22.0,1183.0
2021-02-19,2021.0,2.0,19.0,1183.0
2021-02-18,2021.0,2.0,18.0,1163.0
2021-02-17,2021.0,2.0,17.0,1143.0
2021-02-16,2021.0,2.0,16.0,1143.0
2021-02-15,2021.0,2.0,15.0,1143.0
2021-02-11,2021.0,2.0,11.0,1138.0
2021-02-10,2021.0,2.0,10.0,1118.0
2021-02-09,2021.0,2.0,9.0,1103.0
2021-02-08,2021.0,2.0,8.0,1123.0
2021-02-05,2021.0,2.0,5.0,1123.0
2021-02-04,2021.0,2.0,4.0,1138.0
2021-02-03,2021.0,2.0,3.0,1143.0
2021-02-02,2021.0,2.0,2.0,1148.0
2021-02-01,2021.0,2.0,1.0,1143.0
2021-01-29,2021.0,1.0,29.0,1178.0
2021-01-28,2021.0,1.0,28.0,1183.0
2021-01-27,2021.0,1.0,27.0,1193.0
2021-01-26,2021.0,1.0,26.0,1198.0
2021-01-25,2021.0,1.0,25.0,1203.0
